orthogroup	homozygous_males	homozygous_females	difference	species
OG0001277	21	15	-6	['colias_crocea', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'lycaena_phlaeas', 'maniola_jurtina', 'melanargia_ines', 'melitaea_deione', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_brassicae', 'polyommatus_icarus', 'pontia_daplidice', 'thymelicus_sylvestris']
OG0002301	5	4	-1	['inachis_io', 'melitaea_deione', 'pieris_brassicae', 'pyronia_cecilia']
OG0001484	18	18	0	['anthocharis_belia', 'aricia_cramera', 'celastrina_argiolus', 'coenonympha_arcania', 'colias_crocea', 'euchloe_crameri', 'inachis_io', 'iphiclides_feisthamelii', 'lasiommata_maera', 'lycaena_phlaeas', 'maniola_jurtina', 'melanargia_ines', 'ochlodes_venatus', 'pieris_rapae', 'polyommatus_icarus', 'pontia_daplidice', 'satyrium_spini', 'thymelicus_sylvestris']
OG0003238	6	2	-4	['ochlodes_venatus', 'pontia_daplidice']
OG0002972	3	3	0	['inachis_io', 'melitaea_deione', 'satyrium_spini']
OG0003031	2	4	2	['iphiclides_podalirius', 'melanargia_ines', 'ochlodes_venatus', 'pyronia_cecilia']
OG0004159	3	1	-2	['iphiclides_podalirius']
OG0001938	4	6	2	['gonepteryx_rhamni', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae']
OG0004272	4	2	-2	['iphiclides_podalirius', 'pontia_daplidice']
OG0001859	18	13	-5	['anthocharis_belia', 'celastrina_argiolus', 'colias_crocea', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_podalirius', 'lasiommata_maera', 'lasiommata_megera', 'maniola_jurtina', 'pieris_brassicae', 'pontia_daplidice', 'satyrium_spini', 'thymelicus_sylvestris']
OG0003969	4	1	-3	['melanargia_ines']
OG0002159	9	8	-1	['gonepteryx_rhamni', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'melitaea_deione', 'ochlodes_venatus', 'pieris_brassicae', 'pieris_napi', 'pontia_daplidice']
OG0002593	12	6	-6	['celastrina_argiolus', 'iphiclides_feisthamelii', 'melanargia_ines', 'ochlodes_venatus', 'pararge_aegeria', 'pyronia_cecilia']
OG0001465	15	13	-2	['colias_crocea', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'lycaena_phlaeas', 'melanargia_ines', 'pieris_brassicae', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia', 'satyrium_spini', 'thymelicus_sylvestris']
OG0001669	1	2	1	['iphiclides_feisthamelii', 'pieris_brassicae']
OG0004121	14	5	-9	['anthocharis_belia', 'gonepteryx_rhamni', 'pieris_brassicae', 'pontia_daplidice', 'pyronia_cecilia']
OG0005143	1	2	1	['melitaea_deione', 'pyronia_cecilia']
OG0002102	4	4	0	['iphiclides_feisthamelii', 'lasiommata_maera', 'maniola_jurtina', 'pararge_aegeria']
OG0002191	10	10	0	['colias_crocea', 'inachis_io', 'iphiclides_feisthamelii', 'melanargia_ines', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia', 'thymelicus_sylvestris']
OG0004542	5	2	-3	['iphiclides_podalirius', 'melanargia_ines']
OG0003420	4	2	-2	['aricia_cramera', 'lasiommata_maera']
OG0001472	17	14	-3	['aricia_cramera', 'carcharodus_alceae', 'celastrina_argiolus', 'colias_crocea', 'euchloe_crameri', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_podalirius', 'lasiommata_maera', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'pontia_daplidice', 'satyrium_spini']
OG0004516	16	7	-9	['gonepteryx_rhamni', 'iphiclides_podalirius', 'melanargia_ines', 'melitaea_deione', 'pararge_aegeria', 'pieris_brassicae', 'satyrium_spini']
OG0003574	4	8	4	['aricia_cramera', 'coenonympha_arcania', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'melanargia_ines', 'pararge_aegeria']
OG0004024	0	0	0	[]
OG0001715	4	5	1	['celastrina_argiolus', 'iphiclides_podalirius', 'ochlodes_venatus', 'pontia_daplidice', 'pyronia_cecilia']
OG0002557	8	2	-6	['polyommatus_icarus', 'pontia_daplidice']
OG0001406	2	2	0	['melitaea_deione', 'pieris_brassicae']
OG0004412	27	18	-9	['aricia_cramera', 'carcharodus_alceae', 'celastrina_argiolus', 'colias_crocea', 'euchloe_crameri', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lycaena_phlaeas', 'maniola_jurtina', 'melanargia_ines', 'melitaea_deione', 'pararge_aegeria', 'pieris_brassicae', 'pyronia_cecilia', 'satyrium_spini', 'spialia_sertorius']
OG0002299	13	10	-3	['celastrina_argiolus', 'euchloe_crameri', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'maniola_jurtina', 'pieris_brassicae', 'pieris_napi', 'pontia_daplidice', 'satyrium_spini']
OG0002911	1	6	5	['inachis_io', 'melanargia_ines', 'pieris_brassicae', 'pieris_rapae', 'polyommatus_icarus', 'pontia_daplidice']
OG0004483	4	3	-1	['inachis_io', 'pieris_brassicae', 'satyrium_spini']
OG0001556	21	28	7	['anthocharis_belia', 'aricia_cramera', 'carcharodus_alceae', 'celastrina_argiolus', 'coenonympha_arcania', 'colias_crocea', 'euchloe_crameri', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'lasiommata_megera', 'lycaena_phlaeas', 'maniola_jurtina', 'melanargia_ines', 'melitaea_deione', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'polyommatus_icarus', 'pontia_daplidice', 'pyronia_cecilia', 'satyrium_spini', 'spialia_sertorius', 'thymelicus_sylvestris']
OG0003740	8	6	-2	['gonepteryx_rhamni', 'inachis_io', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'pyronia_cecilia']
OG0004454	1	0	-1	[]
OG0001308	12	12	0	['anthocharis_belia', 'celastrina_argiolus', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'pieris_rapae', 'pyronia_cecilia', 'thymelicus_sylvestris']
OG0001677	13	13	0	['carcharodus_alceae', 'coenonympha_arcania', 'colias_crocea', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_podalirius', 'lasiommata_maera', 'melanargia_ines', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_brassicae', 'pieris_napi', 'pontia_daplidice']
OG0005042	3	4	1	['inachis_io', 'iphiclides_podalirius', 'melitaea_deione', 'ochlodes_venatus']
OG0002310	10	9	-1	['aricia_cramera', 'carcharodus_alceae', 'celastrina_argiolus', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'pieris_brassicae', 'pieris_rapae', 'satyrium_spini']
OG0001569	11	10	-1	['aricia_cramera', 'celastrina_argiolus', 'gonepteryx_rhamni', 'iphiclides_feisthamelii', 'lasiommata_megera', 'melanargia_ines', 'pararge_aegeria', 'pieris_brassicae', 'pontia_daplidice', 'pyronia_cecilia']
OG0001476	22	17	-5	['anthocharis_belia', 'aricia_cramera', 'celastrina_argiolus', 'colias_crocea', 'gonepteryx_rhamni', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'melitaea_deione', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia', 'satyrium_spini', 'spialia_sertorius', 'thymelicus_sylvestris']
OG0001597	5	3	-2	['inachis_io', 'melanargia_ines', 'pyronia_cecilia']
OG0001359	11	8	-3	['celastrina_argiolus', 'inachis_io', 'iphiclides_podalirius', 'lasiommata_maera', 'lycaena_phlaeas', 'melitaea_deione', 'pararge_aegeria', 'pieris_rapae']
OG0003639	7	4	-3	['iphiclides_podalirius', 'lasiommata_maera', 'pararge_aegeria', 'polyommatus_icarus']
OG0004892	1	1	0	['satyrium_spini']
OG0002894	14	17	3	['aricia_cramera', 'carcharodus_alceae', 'celastrina_argiolus', 'colias_crocea', 'gonepteryx_rhamni', 'inachis_io', 'iphiclides_feisthamelii', 'lycaena_phlaeas', 'melitaea_deione', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia', 'thymelicus_sylvestris']
OG0003506	3	4	1	['iphiclides_podalirius', 'ochlodes_venatus', 'pieris_brassicae', 'satyrium_spini']
OG0004736	5	4	-1	['celastrina_argiolus', 'inachis_io', 'lasiommata_maera', 'pieris_brassicae']
OG0004244	1	3	2	['lasiommata_maera', 'melitaea_deione', 'pyronia_cecilia']
OG0001370	11	10	-1	['anthocharis_belia', 'celastrina_argiolus', 'coenonympha_arcania', 'gonepteryx_rhamni', 'lasiommata_maera', 'melitaea_deione', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_brassicae', 'pontia_daplidice']
OG0003289	4	1	-3	['pieris_rapae']
OG0003534	7	5	-2	['aricia_cramera', 'coenonympha_arcania', 'inachis_io', 'melitaea_deione', 'pontia_daplidice']
OG0002026	8	7	-1	['celastrina_argiolus', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'maniola_jurtina', 'pararge_aegeria', 'pontia_daplidice', 'satyrium_spini']
OG0001300	9	11	2	['carcharodus_alceae', 'celastrina_argiolus', 'euchloe_crameri', 'inachis_io', 'iphiclides_podalirius', 'lasiommata_maera', 'maniola_jurtina', 'melitaea_deione', 'ochlodes_venatus', 'pieris_brassicae', 'pieris_napi']
OG0004471	5	3	-2	['inachis_io', 'iphiclides_feisthamelii', 'pieris_brassicae']
OG0003529	11	8	-3	['anthocharis_belia', 'celastrina_argiolus', 'coenonympha_arcania', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_megera', 'spialia_sertorius']
OG0002584	7	7	0	['euchloe_crameri', 'iphiclides_podalirius', 'lycaena_phlaeas', 'melanargia_ines', 'melitaea_deione', 'pararge_aegeria', 'satyrium_spini']
OG0001469	14	10	-4	['celastrina_argiolus', 'colias_crocea', 'iphiclides_podalirius', 'lasiommata_maera', 'ochlodes_venatus', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia', 'satyrium_spini']
OG0002827	4	1	-3	['pieris_brassicae']
OG0001627	18	12	-6	['anthocharis_belia', 'aricia_cramera', 'celastrina_argiolus', 'euchloe_crameri', 'inachis_io', 'iphiclides_podalirius', 'lycaena_phlaeas', 'melitaea_deione', 'ochlodes_venatus', 'pieris_rapae', 'pontia_daplidice', 'thymelicus_sylvestris']
OG0003902	4	5	1	['anthocharis_belia', 'inachis_io', 'melanargia_ines', 'pyronia_cecilia', 'satyrium_spini']
OG0004967	7	3	-4	['celastrina_argiolus', 'pyronia_cecilia', 'satyrium_spini']
OG0003992	11	11	0	['celastrina_argiolus', 'inachis_io', 'iphiclides_podalirius', 'maniola_jurtina', 'melanargia_ines', 'melitaea_deione', 'ochlodes_venatus', 'pararge_aegeria', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia']
OG0002371	16	10	-6	['celastrina_argiolus', 'coenonympha_arcania', 'colias_crocea', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_megera', 'lycaena_phlaeas', 'ochlodes_venatus', 'pontia_daplidice']
OG0001378	2	4	2	['anthocharis_belia', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'melanargia_ines']
OG0002187	16	10	-6	['celastrina_argiolus', 'iphiclides_podalirius', 'lycaena_phlaeas', 'melanargia_ines', 'ochlodes_venatus', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia']
OG0003982	5	4	-1	['inachis_io', 'melanargia_ines', 'pieris_brassicae', 'pontia_daplidice']
OG0003450	20	17	-3	['anthocharis_belia', 'aricia_cramera', 'coenonympha_arcania', 'inachis_io', 'iphiclides_feisthamelii', 'lasiommata_megera', 'lycaena_phlaeas', 'maniola_jurtina', 'melanargia_ines', 'melitaea_deione', 'ochlodes_venatus', 'pieris_brassicae', 'polyommatus_icarus', 'pontia_daplidice', 'pyronia_cecilia', 'satyrium_spini', 'spialia_sertorius']
OG0004287	2	1	-1	['inachis_io']
OG0002136	3	1	-2	['melanargia_ines']
OG0001514	9	5	-4	['aricia_cramera', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'melanargia_ines']
OG0001581	16	13	-3	['anthocharis_belia', 'aricia_cramera', 'celastrina_argiolus', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lycaena_phlaeas', 'melanargia_ines', 'melitaea_deione', 'ochlodes_venatus', 'pieris_rapae', 'pontia_daplidice', 'satyrium_spini']
OG0002824	4	2	-2	['melitaea_deione', 'pieris_brassicae']
OG0003290	4	2	-2	['celastrina_argiolus', 'pieris_brassicae']
OG0003594	4	3	-1	['inachis_io', 'melitaea_deione', 'ochlodes_venatus']
OG0002291	17	7	-10	['aricia_cramera', 'coenonympha_arcania', 'colias_crocea', 'inachis_io', 'lycaena_phlaeas', 'pieris_brassicae', 'pontia_daplidice']
OG0003222	7	4	-3	['gonepteryx_rhamni', 'pieris_brassicae', 'pontia_daplidice', 'pyronia_cecilia']
OG0004217	2	2	0	['celastrina_argiolus', 'pyronia_cecilia']
OG0001632	7	1	-6	['pieris_brassicae']
OG0001267	14	11	-3	['anthocharis_belia', 'aricia_cramera', 'coenonympha_arcania', 'euchloe_crameri', 'iphiclides_podalirius', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'pontia_daplidice', 'satyrium_spini', 'spialia_sertorius']
OG0003519	12	7	-5	['anthocharis_belia', 'aricia_cramera', 'inachis_io', 'iphiclides_podalirius', 'pararge_aegeria', 'pieris_brassicae', 'satyrium_spini']
OG0002331	2	2	0	['pieris_brassicae', 'pieris_rapae']
OG0001296	14	9	-5	['aricia_cramera', 'inachis_io', 'iphiclides_feisthamelii', 'lasiommata_maera', 'lycaena_phlaeas', 'melanargia_ines', 'melitaea_deione', 'polyommatus_icarus', 'pyronia_cecilia']
OG0003413	8	5	-3	['iphiclides_podalirius', 'ochlodes_venatus', 'pieris_brassicae', 'pontia_daplidice', 'pyronia_cecilia']
OG0001500	5	5	0	['iphiclides_podalirius', 'pieris_brassicae', 'pieris_rapae', 'polyommatus_icarus', 'satyrium_spini']
OG0003705	3	4	1	['gonepteryx_rhamni', 'melanargia_ines', 'pyronia_cecilia', 'satyrium_spini']
OG0003136	7	5	-2	['celastrina_argiolus', 'iphiclides_feisthamelii', 'melitaea_deione', 'ochlodes_venatus', 'satyrium_spini']
OG0004757	7	6	-1	['anthocharis_belia', 'aricia_cramera', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera']
OG0001868	20	12	-8	['coenonympha_arcania', 'colias_crocea', 'gonepteryx_rhamni', 'inachis_io', 'lasiommata_maera', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'polyommatus_icarus', 'pontia_daplidice', 'pyronia_cecilia', 'thymelicus_sylvestris']
OG0002432	26	17	-9	['anthocharis_belia', 'aricia_cramera', 'celastrina_argiolus', 'coenonympha_arcania', 'inachis_io', 'iphiclides_feisthamelii', 'iphiclides_podalirius', 'lasiommata_maera', 'lasiommata_megera', 'lycaena_phlaeas', 'melanargia_ines', 'melitaea_deione', 'pararge_aegeria', 'pieris_brassicae', 'pieris_rapae', 'pontia_daplidice', 'pyronia_cecilia']
OG0003624	7	2	-5	['inachis_io', 'pieris_brassicae']
OG0001440	15	9	-6	['aricia_cramera', 'inachis_io', 'iphiclides_podalirius', 'melanargia_ines', 'melitaea_deione', 'pieris_brassicae', 'pieris_napi', 'pieris_rapae', 'pontia_daplidice']
OG0001903	13	5	-8	['euchloe_crameri', 'iphiclides_podalirius', 'melitaea_deione', 'pieris_brassicae', 'pyronia_cecilia']
OG0001771	6	5	-1	['aricia_cramera', 'iphiclides_podalirius', 'melanargia_ines', 'ochlodes_venatus', 'pieris_brassicae']
OG0003743	4	3	-1	['iphiclides_feisthamelii', 'iphiclides_podalirius', 'pyronia_cecilia']
