orthogroup_id	species	HOM_both	HET_both	HOM_M	HOM_F
OG0001314	27	0.19	0.37	0.26	0.19
OG0002539	27	0.07	0.70	0.07	0.15
OG0002198	27	0.19	0.52	0.15	0.15
OG0001810	27	0.19	0.59	0.11	0.11
OG0003819	27	0.15	0.67	0.11	0.07
OG0001521	27	0.30	0.56	0.07	0.07
OG0001329	27	0.07	0.78	0.11	0.04
OG0003267	27	0.11	0.67	0.15	0.07
OG0002493	27	0.07	0.67	0.19	0.07
OG0001690	27	0.33	0.37	0.15	0.15
OG0001878	27	0.19	0.44	0.19	0.19
OG0001504	27	0.33	0.22	0.19	0.26
OG0003119	27	0.00	0.70	0.11	0.19
OG0003093	27	0.33	0.04	0.00	0.63
OG0001443	27	0.07	0.78	0.04	0.11
OG0004995	27	0.11	0.70	0.11	0.07
OG0002147	27	0.33	0.33	0.15	0.19
OG0001271	27	0.37	0.15	0.30	0.19
OG0004509	27	0.00	0.81	0.11	0.07
OG0003838	27	0.04	0.78	0.07	0.11
OG0002311	27	0.19	0.33	0.22	0.26
OG0002590	27	0.33	0.26	0.22	0.19
OG0004256	27	0.19	0.67	0.04	0.11
OG0003146	27	0.11	0.63	0.11	0.15
OG0001286	27	0.37	0.26	0.07	0.30
OG0001350	27	0.37	0.33	0.22	0.07
OG0002460	27	0.19	0.33	0.19	0.30
OG0001333	27	0.07	0.56	0.19	0.19
OG0004340	27	0.07	0.74	0.07	0.11
OG0001309	27	0.15	0.48	0.19	0.19
OG0002560	27	0.07	0.41	0.30	0.22
OG0001722	27	0.33	0.26	0.11	0.30
OG0001737	27	0.00	0.78	0.22	0.00
OG0001648	27	0.11	0.59	0.07	0.22
OG0001862	27	0.30	0.44	0.19	0.07
OG0001326	27	0.11	0.52	0.22	0.15
OG0001335	27	0.04	0.81	0.11	0.04
OG0001277	27	0.26	0.30	0.26	0.19
OG0001378	27	0.00	0.89	0.04	0.07
OG0001355	27	0.00	0.74	0.15	0.11
OG0002743	27	0.26	0.37	0.11	0.26
OG0001308	27	0.19	0.56	0.15	0.11
OG0001822	27	0.07	0.70	0.15	0.07
OG0001312	27	0.07	0.74	0.11	0.07
OG0003550	27	0.22	0.52	0.04	0.22
OG0004713	27	0.07	0.89	0.00	0.04
OG0001837	27	0.30	0.52	0.11	0.07
OG0002418	27	0.41	0.37	0.07	0.15
OG0003140	27	0.04	0.67	0.15	0.15
OG0001266	27	0.67	0.11	0.07	0.15
OG0001366	27	0.22	0.59	0.00	0.19
OG0001377	27	0.44	0.30	0.11	0.15
OG0001268	27	0.19	0.59	0.11	0.11
OG0002550	27	0.07	0.74	0.07	0.11
OG0002452	27	0.00	0.74	0.04	0.22
OG0001292	27	0.33	0.11	0.11	0.44
OG0003659	27	0.15	0.48	0.15	0.22
OG0001344	27	0.44	0.19	0.15	0.22
OG0002117	27	0.15	0.41	0.22	0.22
OG0001307	27	0.07	0.63	0.15	0.15
OG0001318	27	0.19	0.33	0.33	0.15
OG0002537	27	0.04	0.81	0.04	0.11
OG0002441	27	0.07	0.63	0.22	0.07
OG0003044	27	0.33	0.33	0.22	0.11
OG0001501	27	0.11	0.52	0.15	0.22
OG0002483	27	0.04	0.70	0.11	0.15
OG0001922	27	0.07	0.85	0.04	0.04
OG0001713	27	0.15	0.70	0.04	0.11
OG0002723	27	0.22	0.48	0.11	0.19
OG0002983	27	0.07	0.48	0.19	0.26
OG0001511	27	0.00	0.70	0.07	0.22
OG0001439	27	0.04	0.85	0.07	0.04
OG0001806	27	0.26	0.33	0.15	0.26
OG0003109	25	0.12	0.64	0.16	0.08
OG0001381	27	0.07	0.52	0.15	0.26
OG0002576	27	0.04	0.85	0.00	0.11
OG0001338	27	0.11	0.56	0.11	0.22
OG0003516	27	0.15	0.63	0.11	0.11
OG0001272	27	0.52	0.00	0.00	0.48
OG0001434	27	0.07	0.63	0.19	0.11
OG0005188	27	0.04	0.70	0.15	0.11
OG0003529	27	0.04	0.74	0.07	0.15
OG0001290	27	0.41	0.26	0.19	0.15
OG0001322	27	0.11	0.70	0.04	0.15
OG0003163	27	0.15	0.67	0.07	0.11
OG0001514	27	0.04	0.85	0.07	0.04
OG0003469	27	0.04	0.93	0.00	0.04
OG0002034	27	0.07	0.56	0.19	0.19
OG0003155	27	0.07	0.70	0.11	0.11
OG0001714	27	0.00	0.74	0.19	0.07
OG0001495	27	0.11	0.59	0.26	0.04
OG0003507	27	0.04	0.85	0.04	0.07
OG0001432	27	0.33	0.26	0.15	0.26
OG0001882	27	0.15	0.44	0.22	0.19
OG0004660	27	0.15	0.63	0.15	0.07
OG0001431	27	0.19	0.44	0.11	0.26
OG0002404	27	0.04	0.67	0.15	0.15
OG0002964	27	0.07	0.70	0.11	0.11
OG0001156	27	0.07	0.78	0.07	0.07
OG0003953	25	0.08	0.64	0.16	0.12
OG0003443	27	0.04	0.89	0.04	0.04
OG0002449	27	0.07	0.59	0.11	0.22
OG0001932	27	0.07	0.70	0.11	0.11
OG0003941	27	0.00	0.89	0.07	0.04
OG0002080	27	0.04	0.67	0.22	0.07
OG0001617	27	0.30	0.33	0.22	0.15
OG0001895	27	0.30	0.48	0.19	0.04
OG0002502	27	0.04	0.81	0.11	0.04
OG0001596	27	0.19	0.00	0.00	0.81
OG0001446	27	0.07	0.48	0.19	0.26
OG0001364	27	0.11	0.59	0.15	0.15
OG0001265	27	0.04	0.70	0.15	0.11
OG0003992	27	0.11	0.63	0.11	0.15
OG0002476	27	0.15	0.30	0.26	0.30
OG0002029	27	0.04	0.48	0.41	0.07
OG0002371	27	0.11	0.74	0.07	0.07
OG0001296	27	0.04	0.70	0.07	0.19
OG0001302	27	0.33	0.30	0.19	0.19
OG0001294	27	0.07	0.70	0.11	0.11
OG0001327	27	0.22	0.41	0.22	0.15
OG0001323	27	0.04	0.74	0.15	0.07
OG0001289	27	0.19	0.59	0.07	0.15
OG0003117	27	0.07	0.67	0.11	0.15
OG0004231	27	0.00	0.81	0.07	0.11
OG0001947	27	0.22	0.37	0.22	0.19
OG0002523	27	0.04	0.70	0.11	0.15
OG0001310	27	0.00	0.70	0.19	0.11
OG0001374	27	0.07	0.56	0.19	0.19
OG0003241	27	0.00	0.70	0.19	0.11
OG0001353	27	0.11	0.67	0.07	0.15
OG0003956	27	0.11	0.56	0.15	0.19
OG0001304	27	0.22	0.37	0.19	0.22
OG0002565	27	0.00	0.96	0.04	0.00
OG0004299	24	0.33	0.04	0.00	0.62
OG0001510	27	0.22	0.22	0.33	0.22
OG0002519	27	0.15	0.48	0.19	0.19
OG0002569	27	0.04	0.81	0.11	0.04
OG0003370	26	0.23	0.62	0.12	0.04
OG0001343	27	0.07	0.74	0.19	0.00
OG0003196	27	0.07	0.59	0.15	0.19
OG0003879	27	0.15	0.63	0.15	0.07
OG0001570	27	0.19	0.26	0.26	0.30
OG0001336	27	0.07	0.63	0.15	0.15
OG0002377	27	0.11	0.44	0.22	0.22
OG0002665	27	0.00	0.93	0.07	0.00
OG0003390	27	0.07	0.85	0.07	0.00
OG0002911	27	0.00	0.89	0.00	0.11
OG0003741	27	0.00	0.85	0.07	0.07
OG0001749	27	0.26	0.41	0.15	0.19
OG0002444	27	0.07	0.78	0.11	0.04
OG0001530	27	0.26	0.41	0.11	0.22
OG0002406	27	0.04	0.78	0.15	0.04
OG0001820	27	0.22	0.41	0.26	0.11
OG0002128	27	0.11	0.63	0.19	0.07
OG0004777	27	0.07	0.78	0.11	0.04
OG0001395	27	0.11	0.74	0.07	0.07
