orthogroup_id	HOM_both	HET_both	HOM_M	HOM_F
OG0001314	anthocharis_belia,melitaea_deione,ochlodes_venatus,pararge_aegeria,pyronia_cecilia	carcharodus_alceae,celastrina_argiolus,gonepteryx_rhamni,iphiclides_feisthamelii,lasiommata_megera,lycaena_phlaeas,melanargia_ines,pieris_brassicae,satyrium_spini,spialia_sertorius	aricia_cramera,colias_crocea,euchloe_crameri,inachis_io,iphiclides_podalirius,pieris_napi,pontia_daplidice	lasiommata_maera,maniola_jurtina,pieris_rapae,polyommatus_icarus,thymelicus_sylvestris
OG0002539	inachis_io,pieris_brassicae	aricia_cramera,carcharodus_alceae,celastrina_argiolus,euchloe_crameri,iphiclides_feisthamelii,iphiclides_podalirius,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,melanargia_ines,ochlodes_venatus,pararge_aegeria,pieris_napi,pieris_rapae,polyommatus_icarus,satyrium_spini,spialia_sertorius,thymelicus_sylvestris	gonepteryx_rhamni,melitaea_deione	anthocharis_belia,colias_crocea,pontia_daplidice,pyronia_cecilia
OG0002198	carcharodus_alceae,euchloe_crameri,ochlodes_venatus,pararge_aegeria,pontia_daplidice	colias_crocea,iphiclides_podalirius,lasiommata_maera,lasiommata_megera,melanargia_ines,melitaea_deione,pieris_brassicae,pieris_napi,pieris_rapae,polyommatus_icarus,pyronia_cecilia,satyrium_spini,spialia_sertorius,thymelicus_sylvestris	aricia_cramera,celastrina_argiolus,lycaena_phlaeas,maniola_jurtina	anthocharis_belia,gonepteryx_rhamni,inachis_io,iphiclides_feisthamelii
OG0001810	anthocharis_belia,inachis_io,iphiclides_feisthamelii,pieris_brassicae,satyrium_spini	aricia_cramera,carcharodus_alceae,colias_crocea,euchloe_crameri,iphiclides_podalirius,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,melanargia_ines,ochlodes_venatus,pieris_napi,polyommatus_icarus,pyronia_cecilia,spialia_sertorius,thymelicus_sylvestris	celastrina_argiolus,melitaea_deione,pontia_daplidice	gonepteryx_rhamni,pararge_aegeria,pieris_rapae
OG0003819	anthocharis_belia,aricia_cramera,celastrina_argiolus,maniola_jurtina	colias_crocea,euchloe_crameri,gonepteryx_rhamni,iphiclides_feisthamelii,iphiclides_podalirius,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,melitaea_deione,pararge_aegeria,pieris_napi,pieris_rapae,polyommatus_icarus,pontia_daplidice,pyronia_cecilia,satyrium_spini,spialia_sertorius,thymelicus_sylvestris	carcharodus_alceae,melanargia_ines,pieris_brassicae	inachis_io,ochlodes_venatus
OG0001521	celastrina_argiolus,euchloe_crameri,inachis_io,iphiclides_podalirius,melanargia_ines,pieris_napi,pieris_rapae,satyrium_spini	anthocharis_belia,aricia_cramera,carcharodus_alceae,colias_crocea,iphiclides_feisthamelii,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,pararge_aegeria,pieris_brassicae,polyommatus_icarus,pontia_daplidice,spialia_sertorius,thymelicus_sylvestris	gonepteryx_rhamni,melitaea_deione	ochlodes_venatus,pyronia_cecilia
OG0001329	iphiclides_podalirius,pieris_brassicae	anthocharis_belia,aricia_cramera,carcharodus_alceae,celastrina_argiolus,colias_crocea,euchloe_crameri,gonepteryx_rhamni,inachis_io,iphiclides_feisthamelii,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,melanargia_ines,ochlodes_venatus,pararge_aegeria,pieris_napi,pieris_rapae,polyommatus_icarus,spialia_sertorius,thymelicus_sylvestris	pontia_daplidice,pyronia_cecilia,satyrium_spini	melitaea_deione
OG0003267	anthocharis_belia,iphiclides_podalirius,pieris_brassicae	aricia_cramera,celastrina_argiolus,colias_crocea,euchloe_crameri,gonepteryx_rhamni,iphiclides_feisthamelii,lasiommata_maera,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,ochlodes_venatus,pieris_napi,pieris_rapae,polyommatus_icarus,pontia_daplidice,satyrium_spini,spialia_sertorius,thymelicus_sylvestris	carcharodus_alceae,inachis_io,pararge_aegeria,pyronia_cecilia	melanargia_ines,melitaea_deione
OG0002493	iphiclides_podalirius,pieris_brassicae	aricia_cramera,carcharodus_alceae,colias_crocea,euchloe_crameri,gonepteryx_rhamni,inachis_io,lasiommata_megera,lycaena_phlaeas,maniola_jurtina,ochlodes_venatus,pararge_aegeria,pieris_rapae,polyommatus_icarus,pontia_daplidice,pyronia_cecilia,satyrium_spini,spialia_sertorius,thymelicus_sylvestris	celastrina_argiolus,lasiommata_maera,melanargia_ines,melitaea_deione,pieris_napi	anthocharis_belia,iphiclides_feisthamelii
OG0001690	anthocharis_belia,celastrina_argiolus,gonepteryx_rhamni,inachis_io,lasiommata_maera,pieris_brassicae,pontia_daplidice,pyronia_cecilia,satyrium_spini	carcharodus_alceae,colias_crocea,lasiommata_megera,lycaena_phlaeas,melanargia_ines,ochlodes_venatus,pieris_rapae,polyommatus_icarus,spialia_sertorius,thymelicus_sylvestris	euchloe_crameri,iphiclides_feisthamelii,pararge_aegeria,pieris_napi	aricia_cramera,iphiclides_podalirius,maniola_jurtina,melitaea_deione
