species	sex	orthogroups	missing	HOM_M	HOM_F	HOM_X	HOM_M_%	HOM_F_%	HOM_X_%
data/anthocharis_belia.phy.SCO.loci.metrics	FM	1313	0	767	815	0	0.58	0.62	0.0
data/aricia_cramera.phy.SCO.loci.metrics	FM	1310	0	840	832	0	0.64	0.64	0.0
data/carcharodus_alceae.phy.SCO.loci.metrics	FM	1314	0	742	740	0	0.56	0.56	0.0
data/celastrina_argiolus.phy.SCO.loci.metrics	FM	1312	0	862	873	0	0.66	0.67	0.0
data/coenonympha_arcania.phy.SCO.loci.metrics	FM	1313	0	689	656	0	0.52	0.5	0.0
data/colias_crocea.phy.SCO.loci.metrics	FM	1313	0	762	758	0	0.58	0.58	0.0
data/euchloe_crameri.phy.SCO.loci.metrics	FM	1310	0	645	693	0	0.49	0.53	0.0
data/euphydryas_aurinia.phy.SCO.loci.metrics	XX	1307	0	0	0	849	0.0	0.0	0.65
data/gonepteryx_cleopatra.phy.SCO.loci.metrics	MM	1311	0	938	0	0	0.72	0.0	0.0
data/gonepteryx_rhamni.phy.SCO.loci.metrics	FM	1310	0	783	778	0	0.6	0.59	0.0
data/inachis_io.phy.SCO.loci.metrics	FM	1313	0	919	1004	0	0.7	0.76	0.0
data/iphiclides_feisthamelii.phy.SCO.loci.metrics	FM	1313	0	856	829	0	0.65	0.63	0.0
data/iphiclides_podalirius.phy.SCO.loci.metrics	FM	1311	0	934	930	0	0.71	0.71	0.0
data/lasiommata_maera.phy.SCO.loci.metrics	FM	1314	0	831	817	0	0.63	0.62	0.0
data/lasiommata_megera.phy.SCO.loci.metrics	FM	1307	0	718	739	0	0.55	0.57	0.0
data/lycaena_phlaeas.phy.SCO.loci.metrics	FM	1313	0	765	760	0	0.58	0.58	0.0
data/maniola_jurtina.phy.SCO.loci.metrics	FM	1312	0	723	739	0	0.55	0.56	0.0
data/melanargia_ines.phy.SCO.loci.metrics	FM	1312	0	888	904	0	0.68	0.69	0.0
data/melitaea_athalia.phy.SCO.loci.metrics	XX	417	0	0	0	345	0.0	0.0	0.83
data/melitaea_cinxia_new.phy.SCO.loci.metrics	XX	698	0	0	0	542	0.0	0.0	0.78
data/melitaea_deione.phy.SCO.loci.metrics	FM	1313	0	866	818	0	0.66	0.62	0.0
data/melitaea_didyma.phy.SCO.loci.metrics	XX	582	0	0	0	441	0.0	0.0	0.76
data/melitaea_parthenoides.phy.SCO.loci.metrics	XX	362	1	0	0	307	0.0	0.0	0.85
data/ochlodes_venatus.phy.SCO.loci.metrics	FM	1313	0	825	821	0	0.63	0.63	0.0
data/pararge_aegeria.phy.SCO.loci.metrics	FM	1313	0	862	840	0	0.66	0.64	0.0
data/pieris_brassicae.phy.SCO.loci.metrics	FM	1309	0	975	952	0	0.74	0.73	0.0
data/pieris_napi.phy.SCO.loci.metrics	FM	1312	0	674	663	0	0.51	0.51	0.0
data/pieris_rapae.phy.SCO.loci.metrics	FM	1313	0	713	735	0	0.54	0.56	0.0
data/polyommatus_icarus.phy.SCO.loci.metrics	FM	1308	0	768	698	0	0.59	0.53	0.0
data/pontia_daplidice.phy.SCO.loci.metrics	FM	1314	0	906	913	0	0.69	0.69	0.0
data/pyronia_cecilia.phy.SCO.loci.metrics	FM	1303	0	856	878	0	0.66	0.67	0.0
data/satyrium_esculi.phy.SCO.loci.metrics	MM	1310	0	877	0	0	0.67	0.0	0.0
data/satyrium_spini.phy.SCO.loci.metrics	FM	1312	0	858	897	0	0.65	0.68	0.0
data/spialia_sertorius.phy.SCO.loci.metrics	FM	1313	0	656	631	0	0.5	0.48	0.0
data/thymelicus_acteon.phy.SCO.loci.metrics	MM	1309	0	821	0	0	0.63	0.0	0.0
data/thymelicus_lineola.phy.SCO.loci.metrics	XX	1017	7	0	0	718	0.0	0.0	0.71
data/thymelicus_sylvestris.phy.SCO.loci.metrics	FM	1313	0	759	748	0	0.58	0.57	0.0
data/vanessa_atalanta.phy.SCO.loci.metrics	XX	1311	0	0	0	989	0.0	0.0	0.75
