species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MJ_177	0_pi_MJ_27	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MJ_177	4_pi_MJ_27	4_pi_between	4_pi_total
maniola_jurtina	TRINITY_DN39_c0_g1(-)	jurtina.TRINITY_DN39_c0_g1	NA	3	0	0	3	7	7	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN475_c0_g1(+)	jurtina.TRINITY_DN475_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN670_c0_g1(+)	jurtina.TRINITY_DN670_c0_g1	NA	25	0	0	25	50	50	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN1238_c0_g1(-)	jurtina.TRINITY_DN1238_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN1281_c0_g1(-)	jurtina.TRINITY_DN1281_c0_g1	NA	11	0	0	11	18	17	1	0	0	0	0.05555556	0.0	0.02777778	0.02777778	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN1763_c0_g1(-)	jurtina.TRINITY_DN1763_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
maniola_jurtina	TRINITY_DN1828_c0_g1(+)	jurtina.TRINITY_DN1828_c0_g1	NA	191	0	0	191	370	370	0	0	0	0	0.0	0.0	0.0	0.0	88	87	0	0	0	1	0.0	0.0	0.01136364	0.00757576
maniola_jurtina	TRINITY_DN2779_c0_g1(-)	jurtina.TRINITY_DN2779_c0_g1	NA	38	0	0	38	71	71	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN3764_c0_g1(-)	jurtina.TRINITY_DN3764_c0_g1	NA	16	0	0	16	28	28	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
maniola_jurtina	TRINITY_DN4281_c0_g1(+)	jurtina.TRINITY_DN4281_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
