species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_PA_333	0_pi_PA_405	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_PA_333	4_pi_PA_405	4_pi_between	4_pi_total
pararge_aegeria	TRINITY_DN181_c0_g1(+)	aegeria.TRINITY_DN181_c0_g1	NA	109	0	0	109	209	209	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN392_c0_g1(+)	aegeria.TRINITY_DN392_c0_g1	NA	85	0	0	85	173	173	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN847_c0_g1(+)	aegeria.TRINITY_DN847_c0_g1	NA	33	0	0	33	67	67	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN946_c0_g1(+)	aegeria.TRINITY_DN946_c0_g1	NA	95	0	0	95	189	189	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN988_c0_g1(-)	aegeria.TRINITY_DN988_c0_g1	NA	62	0	0	62	121	121	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN1244_c0_g1(+)	aegeria.TRINITY_DN1244_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN1947_c0_g1(-)	aegeria.TRINITY_DN1947_c0_g1	NA	9	0	0	9	15	15	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
pararge_aegeria	TRINITY_DN2878_c0_g1(+)	aegeria.TRINITY_DN2878_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
pararge_aegeria	TRINITY_DN3028_c0_g1(+)	aegeria.TRINITY_DN3028_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
pararge_aegeria	TRINITY_DN3795_c0_g1(+)	aegeria.TRINITY_DN3795_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
