species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MI_61	0_pi_MI_7	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MI_61	4_pi_MI_7	4_pi_between	4_pi_total
melanargia_ines	TRINITY_DN73_c0_g1(+)	ines.TRINITY_DN73_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN112_c0_g1(+)	ines.TRINITY_DN112_c0_g1	NA	213	0	0	213	417	416	1	0	0	0	0.00239808	0.0	0.00119904	0.00119904	75	75	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN145_c0_g1(-)	ines.TRINITY_DN145_c0_g1	NA	2	0	0	2	2	2	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN325_c0_g1(+)	ines.TRINITY_DN325_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN327_c0_g1(+)	ines.TRINITY_DN327_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melanargia_ines	TRINITY_DN379_c0_g1(-)	ines.TRINITY_DN379_c0_g1	NA	37	0	0	37	71	71	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN430_c0_g1(+)	ines.TRINITY_DN430_c0_g1	NA	65	0	0	65	124	124	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN538_c0_g1(+)	ines.TRINITY_DN538_c0_g1	NA	239	0	0	239	443	442	0	1	0	0	0.0	0.00225734	0.00112867	0.00112867	75	75	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN558_c0_g1(-)	ines.TRINITY_DN558_c0_g1	NA	57	0	0	57	106	105	0	1	0	0	0.0	0.00943396	0.00471698	0.00471698	21	20	1	0	0	0	0.04761905	0.0	0.02380952	0.02380952
melanargia_ines	TRINITY_DN566_c0_g1(+)	ines.TRINITY_DN566_c0_g1	OG0001295	444	0	0	444	854	854	0	0	0	0	0.0	0.0	0.0	0.0	191	191	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN702_c0_g1(+)	ines.TRINITY_DN702_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1219_c0_g1(+)	ines.TRINITY_DN1219_c0_g1	NA	579	0	0	579	1112	1112	0	0	0	0	0.0	0.0	0.0	0.0	206	205	0	1	0	0	0.0	0.00485437	0.00242718	0.00242718
melanargia_ines	TRINITY_DN1236_c0_g1(-)	ines.TRINITY_DN1236_c0_g1	NA	3	0	0	3	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1375_c0_g1(+)	ines.TRINITY_DN1375_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1427_c0_g1(+)	ines.TRINITY_DN1427_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1571_c0_g1(+)	ines.TRINITY_DN1571_c0_g1	NA	111	0	0	111	216	216	0	0	0	0	0.0	0.0	0.0	0.0	51	51	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1736_c0_g1(+)	ines.TRINITY_DN1736_c0_g1	NA	339	0	0	339	661	661	0	0	0	0	0.0	0.0	0.0	0.0	122	122	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1738_c0_g1(+)	ines.TRINITY_DN1738_c0_g1	NA	76	0	1	75	144	144	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1957_c0_g1(+)	ines.TRINITY_DN1957_c0_g1	NA	125	0	0	125	244	244	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN1997_c0_g1(+)	ines.TRINITY_DN1997_c0_g1	NA	132	0	0	132	258	258	0	0	0	0	0.0	0.0	0.0	0.0	50	50	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2007_c0_g1(+)	ines.TRINITY_DN2007_c0_g1	NA	250	0	0	250	482	482	0	0	0	0	0.0	0.0	0.0	0.0	100	100	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2267_c0_g1(+)	ines.TRINITY_DN2267_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2337_c0_g1(+)	ines.TRINITY_DN2337_c0_g1	NA	12	0	0	12	21	21	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2388_c0_g1(-)	ines.TRINITY_DN2388_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2415_c0_g1(+)	ines.TRINITY_DN2415_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melanargia_ines	TRINITY_DN2467_c0_g1(+)	ines.TRINITY_DN2467_c0_g1	NA	55	0	0	55	112	112	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2486_c0_g1(+)	ines.TRINITY_DN2486_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2585_c0_g1(+)	ines.TRINITY_DN2585_c0_g1	NA	15	0	0	15	26	25	0	1	0	0	0.0	0.03846154	0.01923077	0.01923077	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2616_c0_g1(+)	ines.TRINITY_DN2616_c0_g1	NA	220	0	0	220	426	426	0	0	0	0	0.0	0.0	0.0	0.0	101	101	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2633_c0_g1(+)	ines.TRINITY_DN2633_c0_g1	NA	127	0	0	127	241	241	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2662_c0_g1(+)	ines.TRINITY_DN2662_c0_g1	NA	56	0	0	56	109	108	0	1	0	0	0.0	0.00917431	0.00458716	0.00458716	40	40	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2718_c0_g1(+)	ines.TRINITY_DN2718_c0_g1	NA	296	0	0	296	564	563	0	0	1	0	0.00177305	0.00177305	0.00088652	0.00118203	146	146	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2719_c0_g1(-)	ines.TRINITY_DN2719_c0_g1	NA	3	0	0	3	7	7	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melanargia_ines	TRINITY_DN2720_c0_g1(+)	ines.TRINITY_DN2720_c0_g1	NA	260	0	0	260	485	485	0	0	0	0	0.0	0.0	0.0	0.0	120	120	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2739_c0_g1(+)	ines.TRINITY_DN2739_c0_g1	NA	191	0	0	191	368	368	0	0	0	0	0.0	0.0	0.0	0.0	100	99	0	1	0	0	0.0	0.01	0.005	0.005
melanargia_ines	TRINITY_DN2742_c0_g1(+)	ines.TRINITY_DN2742_c0_g1	NA	184	0	0	184	354	354	0	0	0	0	0.0	0.0	0.0	0.0	79	79	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN2941_c0_g1(+)	ines.TRINITY_DN2941_c0_g1	NA	178	0	0	178	340	340	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3434_c0_g1(+)	ines.TRINITY_DN3434_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3466_c0_g1(+)	ines.TRINITY_DN3466_c0_g1	NA	12	0	0	12	24	24	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3482_c0_g1(+)	ines.TRINITY_DN3482_c0_g1	NA	410	0	0	410	799	799	0	0	0	0	0.0	0.0	0.0	0.0	179	179	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3566_c0_g1(+)	ines.TRINITY_DN3566_c0_g1	NA	57	0	0	57	110	110	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3756_c0_g1(+)	ines.TRINITY_DN3756_c0_g1	NA	28	0	0	28	51	51	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3792_c0_g1(+)	ines.TRINITY_DN3792_c0_g1	NA	220	0	0	220	429	429	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN3930_c0_g1(+)	ines.TRINITY_DN3930_c0_g1	NA	223	0	0	223	417	417	0	0	0	0	0.0	0.0	0.0	0.0	92	92	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4155_c0_g1(+)	ines.TRINITY_DN4155_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4306_c0_g2(-)	ines.TRINITY_DN4306_c0_g2	NA	2	0	1	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4319_c0_g1(+)	ines.TRINITY_DN4319_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4475_c0_g1(+)	ines.TRINITY_DN4475_c0_g1	NA	81	0	0	81	156	156	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4689_c0_g1(-)	ines.TRINITY_DN4689_c0_g1	NA	68	0	0	68	131	131	0	0	0	0	0.0	0.0	0.0	0.0	49	48	0	1	0	0	0.0	0.02040816	0.01020408	0.01020408
melanargia_ines	TRINITY_DN4778_c0_g1(-)	ines.TRINITY_DN4778_c0_g1	NA	44	0	0	44	83	83	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4858_c0_g1(+)	ines.TRINITY_DN4858_c0_g1	NA	147	0	0	147	287	287	0	0	0	0	0.0	0.0	0.0	0.0	68	68	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4876_c0_g1(+)	ines.TRINITY_DN4876_c0_g1	OG0002743	471	0	0	471	914	914	0	0	0	0	0.0	0.0	0.0	0.0	180	180	0	0	0	0	0.0	0.0	0.0	0.0
melanargia_ines	TRINITY_DN4912_c0_g1(+)	ines.TRINITY_DN4912_c0_g1	NA	131	0	0	131	248	248	0	0	0	0	0.0	0.0	0.0	0.0	41	40	1	0	0	0	0.02439024	0.0	0.01219512	0.01219512
melanargia_ines	TRINITY_DN5026_c0_g1(+)	ines.TRINITY_DN5026_c0_g1	NA	277	0	0	277	536	536	0	0	0	0	0.0	0.0	0.0	0.0	127	127	0	0	0	0	0.0	0.0	0.0	0.0
