species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_PI_162	0_pi_PI_39	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_PI_162	4_pi_PI_39	4_pi_between	4_pi_total
polyommatus_icarus	TRINITY_DN80_c0_g1(+)	icarus.TRINITY_DN80_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN399_c0_g1(+)	icarus.TRINITY_DN399_c0_g1	NA	64	0	0	64	119	119	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN409_c0_g1(+)	icarus.TRINITY_DN409_c0_g1	NA	68	0	0	68	132	132	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN953_c0_g1(+)	icarus.TRINITY_DN953_c0_g1	NA	132	0	2	130	252	252	0	0	0	0	0.0	0.0	0.0	0.0	47	46	0	0	0	1	0.0	0.0	0.0212766	0.0141844
polyommatus_icarus	TRINITY_DN1546_c0_g1(+)	icarus.TRINITY_DN1546_c0_g1	NA	118	0	0	118	224	224	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN1639_c0_g1(-)	icarus.TRINITY_DN1639_c0_g1	NA	23	0	0	23	41	39	0	1	1	0	0.02439024	0.04878049	0.02439024	0.02845528	9	8	0	0	1	0	0.11111111	0.11111111	0.05555556	0.07407408
polyommatus_icarus	TRINITY_DN1930_c0_g1(+)	icarus.TRINITY_DN1930_c0_g1	NA	8	0	0	8	16	16	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN2599_c0_g2(-)	icarus.TRINITY_DN2599_c0_g2	NA	71	0	0	71	138	137	1	0	0	0	0.00724638	0.0	0.00362319	0.00362319	28	28	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN2985_c0_g1(-)	icarus.TRINITY_DN2985_c0_g1	NA	57	0	0	57	110	109	1	0	0	0	0.00909091	0.0	0.00454545	0.00454545	12	12	0	0	0	0	0.0	0.0	0.0	0.0
polyommatus_icarus	TRINITY_DN3087_c0_g1(-)	icarus.TRINITY_DN3087_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
