species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MD_GA08J	0_pi_MD_GA08K	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MD_GA08J	4_pi_MD_GA08K	4_pi_between	4_pi_total
melitaea_didyma	TRINITY_DN18_c0_g1(+)	didyma.TRINITY_DN18_c0_g1	NA	49	0	0	49	98	98	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN190_c0_g1(+)	didyma.TRINITY_DN190_c0_g1	OG0001290	36	0	0	36	72	72	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN205_c0_g1(+)	didyma.TRINITY_DN205_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_didyma	TRINITY_DN265_c0_g1(+)	didyma.TRINITY_DN265_c0_g1	NA	89	0	0	89	169	169	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN320_c0_g1(+)	didyma.TRINITY_DN320_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_didyma	TRINITY_DN336_c0_g1(+)	didyma.TRINITY_DN336_c0_g1	NA	84	0	0	84	166	165	0	1	0	0	0.0	0.0060241	0.00301205	0.00301205	46	46	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN440_c0_g1(+)	didyma.TRINITY_DN440_c0_g1	NA	83	0	0	83	156	156	0	0	0	0	0.0	0.0	0.0	0.0	37	36	1	0	0	0	0.02702703	0.0	0.01351351	0.01351351
melitaea_didyma	TRINITY_DN1079_c0_g1(+)	didyma.TRINITY_DN1079_c0_g1	NA	20	0	0	20	38	38	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1127_c0_g1(-)	didyma.TRINITY_DN1127_c0_g1	NA	41	0	0	41	77	77	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1148_c0_g1(+)	didyma.TRINITY_DN1148_c0_g1	NA	29	1	0	28	48	48	0	0	0	0	0.0	0.0	0.0	0.0	20	17	2	0	0	1	0.1	0.0	0.1	0.08333333
melitaea_didyma	TRINITY_DN1163_c0_g1(+)	didyma.TRINITY_DN1163_c0_g1	NA	7	0	0	7	15	15	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1330_c0_g1(+)	didyma.TRINITY_DN1330_c0_g1	NA	70	0	0	70	131	131	0	0	0	0	0.0	0.0	0.0	0.0	28	27	1	0	0	0	0.03571429	0.0	0.01785714	0.01785714
melitaea_didyma	TRINITY_DN1341_c0_g1(+)	didyma.TRINITY_DN1341_c0_g1	NA	36	0	0	36	68	68	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1369_c0_g1(+)	didyma.TRINITY_DN1369_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1401_c0_g1(-)	didyma.TRINITY_DN1401_c0_g1	NA	45	0	0	45	84	84	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1434_c0_g1(-)	didyma.TRINITY_DN1434_c0_g1	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1475_c0_g1(+)	didyma.TRINITY_DN1475_c0_g1	NA	57	0	0	57	110	110	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1500_c0_g1(+)	didyma.TRINITY_DN1500_c0_g1	NA	17	0	0	17	34	34	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1506_c0_g1(-)	didyma.TRINITY_DN1506_c0_g1	NA	14	0	0	14	26	26	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1589_c0_g1(-)	didyma.TRINITY_DN1589_c0_g1	NA	82	0	0	82	154	154	0	0	0	0	0.0	0.0	0.0	0.0	23	22	0	0	0	1	0.0	0.0	0.04347826	0.02898551
melitaea_didyma	TRINITY_DN1605_c0_g1(-)	didyma.TRINITY_DN1605_c0_g1	NA	127	0	0	127	240	240	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1617_c0_g1(+)	didyma.TRINITY_DN1617_c0_g1	NA	83	0	0	83	160	160	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1640_c0_g1(+)	didyma.TRINITY_DN1640_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1712_c0_g1(+)	didyma.TRINITY_DN1712_c0_g1	OG0003956	17	0	0	17	29	29	0	0	0	0	0.0	0.0	0.0	0.0	8	7	1	0	0	0	0.125	0.0	0.0625	0.0625
melitaea_didyma	TRINITY_DN1911_c0_g1(+)	didyma.TRINITY_DN1911_c0_g1	NA	140	0	0	140	269	269	0	0	0	0	0.0	0.0	0.0	0.0	61	61	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN1964_c0_g1(+)	didyma.TRINITY_DN1964_c0_g1	NA	12	0	0	12	20	20	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2045_c0_g1(+)	didyma.TRINITY_DN2045_c0_g1	NA	171	0	0	171	335	335	0	0	0	0	0.0	0.0	0.0	0.0	62	62	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2057_c0_g1(-)	didyma.TRINITY_DN2057_c0_g1	NA	60	0	0	60	115	115	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2058_c0_g1(+)	didyma.TRINITY_DN2058_c0_g1	NA	56	0	0	56	113	113	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2079_c0_g1(+)	didyma.TRINITY_DN2079_c0_g1	NA	20	0	0	20	41	41	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2132_c0_g1(+)	didyma.TRINITY_DN2132_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_didyma	TRINITY_DN2219_c0_g1(+)	didyma.TRINITY_DN2219_c0_g1	OG0001688	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2220_c0_g1(+)	didyma.TRINITY_DN2220_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2258_c0_g1(+)	didyma.TRINITY_DN2258_c0_g1	NA	29	0	0	29	56	56	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2286_c0_g1(+)	didyma.TRINITY_DN2286_c0_g1	OG0001293	160	0	0	160	314	314	0	0	0	0	0.0	0.0	0.0	0.0	82	82	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2362_c0_g1(+)	didyma.TRINITY_DN2362_c0_g1	NA	8	0	0	8	17	17	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2363_c0_g1(+)	didyma.TRINITY_DN2363_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_didyma	TRINITY_DN2557_c0_g1(+)	didyma.TRINITY_DN2557_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_didyma	TRINITY_DN2561_c1_g1(-)	didyma.TRINITY_DN2561_c1_g1	NA	7	0	0	7	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2609_c0_g1(+)	didyma.TRINITY_DN2609_c0_g1	NA	39	0	0	39	70	70	0	0	0	0	0.0	0.0	0.0	0.0	16	15	0	0	1	0	0.0625	0.0625	0.03125	0.04166667
melitaea_didyma	TRINITY_DN2680_c0_g1(+)	didyma.TRINITY_DN2680_c0_g1	NA	315	0	0	315	617	617	0	0	0	0	0.0	0.0	0.0	0.0	124	124	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2688_c0_g1(+)	didyma.TRINITY_DN2688_c0_g1	OG0002710	35	0	0	35	60	60	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2709_c0_g1(+)	didyma.TRINITY_DN2709_c0_g1	NA	103	0	0	103	206	206	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_didyma	TRINITY_DN2712_c0_g1(+)	didyma.TRINITY_DN2712_c0_g1	NA	12	0	0	12	24	24	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
