species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_CaAl_341	0_pi_CaAl_440	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_CaAl_341	4_pi_CaAl_440	4_pi_between	4_pi_total
carcharodus_alceae	TRINITY_DN135_c0_g1(+)	alceae.TRINITY_DN135_c0_g1	NA	144	0	0	144	285	285	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN601_c0_g1(-)	alceae.TRINITY_DN601_c0_g1	NA	2	0	0	2	3	2	0	0	1	0	0.33333333	0.33333333	0.16666667	0.22222222	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN881_c0_g1(+)	alceae.TRINITY_DN881_c0_g1	NA	7	0	0	7	12	12	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN1015_c0_g1(+)	alceae.TRINITY_DN1015_c0_g1	NA	10	0	0	10	16	15	0	0	1	0	0.0625	0.0625	0.03125	0.04166667	5	5	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN2036_c0_g1(+)	alceae.TRINITY_DN2036_c0_g1	NA	17	0	0	17	27	26	0	0	1	0	0.03703704	0.03703704	0.01851852	0.02469136	5	5	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN2043_c0_g1(-)	alceae.TRINITY_DN2043_c0_g1	NA	128	0	0	128	245	243	1	0	1	0	0.00816327	0.00408163	0.00408163	0.0047619	30	30	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN2314_c0_g1(+)	alceae.TRINITY_DN2314_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN2770_c0_g1(+)	alceae.TRINITY_DN2770_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
carcharodus_alceae	TRINITY_DN2875_c0_g1(+)	alceae.TRINITY_DN2875_c0_g1	NA	300	0	0	300	585	585	0	0	0	0	0.0	0.0	0.0	0.0	117	117	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN3127_c0_g1(-)	alceae.TRINITY_DN3127_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
carcharodus_alceae	TRINITY_DN4250_c0_g1(-)	alceae.TRINITY_DN4250_c0_g1	NA	12	0	0	12	25	25	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
