species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MA_GA08L	0_pi_MA_GA08M	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MA_GA08L	4_pi_MA_GA08M	4_pi_between	4_pi_total
melitaea_athalia	TRINITY_DN144_c0_g1(-)	athalia.TRINITY_DN144_c0_g1	NA	30	0	0	30	58	58	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN297_c0_g1(-)	athalia.TRINITY_DN297_c0_g1	NA	19	0	0	19	33	33	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN692_c1_g1(-)	athalia.TRINITY_DN692_c1_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN1076_c0_g1(+)	athalia.TRINITY_DN1076_c0_g1	NA	34	0	0	34	65	65	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN1111_c0_g1(+)	athalia.TRINITY_DN1111_c0_g1	OG0001364	11	0	0	11	18	18	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN1115_c0_g1(+)	athalia.TRINITY_DN1115_c0_g1	NA	18	0	0	18	32	31	0	1	0	0	0.0	0.03125	0.015625	0.015625	8	8	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN1166_c0_g1(-)	athalia.TRINITY_DN1166_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_athalia	TRINITY_DN1242_c0_g1(+)	athalia.TRINITY_DN1242_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_athalia	TRINITY_DN1259_c0_g1(+)	athalia.TRINITY_DN1259_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_athalia	TRINITY_DN1358_c0_g1(-)	athalia.TRINITY_DN1358_c0_g1	NA	4	0	0	4	7	7	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
