species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_II_116	0_pi_II_368	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_II_116	4_pi_II_368	4_pi_between	4_pi_total
inachis_io	TRINITY_DN11_c0_g1(+)	io.TRINITY_DN11_c0_g1	NA	78	0	0	78	153	153	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN19_c0_g1(+)	io.TRINITY_DN19_c0_g1	NA	165	0	0	165	317	317	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN68_c0_g1(+)	io.TRINITY_DN68_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
inachis_io	TRINITY_DN102_c0_g1(+)	io.TRINITY_DN102_c0_g1	NA	198	0	0	198	379	379	0	0	0	0	0.0	0.0	0.0	0.0	74	74	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN118_c0_g1(+)	io.TRINITY_DN118_c0_g1	NA	132	0	0	132	260	260	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN119_c0_g1(+)	io.TRINITY_DN119_c0_g1	OG0002198	196	0	0	196	374	374	0	0	0	0	0.0	0.0	0.0	0.0	74	73	1	0	0	0	0.01351351	0.0	0.00675676	0.00675676
inachis_io	TRINITY_DN120_c0_g1(-)	io.TRINITY_DN120_c0_g1	NA	43	0	0	43	82	82	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN390_c0_g1(+)	io.TRINITY_DN390_c0_g1	NA	146	0	0	146	281	281	0	0	0	0	0.0	0.0	0.0	0.0	54	53	0	1	0	0	0.0	0.01851852	0.00925926	0.00925926
inachis_io	TRINITY_DN502_c0_g1(+)	io.TRINITY_DN502_c0_g1	OG0002452	272	0	0	272	529	528	1	0	0	0	0.00189036	0.0	0.00094518	0.00094518	151	151	0	0	0	0	0.0	0.0	0.0	0.0
inachis_io	TRINITY_DN505_c0_g1(+)	io.TRINITY_DN505_c0_g1	NA	132	0	0	132	254	254	0	0	0	0	0.0	0.0	0.0	0.0	72	71	1	0	0	0	0.01388889	0.0	0.00694444	0.00694444
