species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_GA08D	0_pi_GA08E	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_GA08D	4_pi_GA08E	4_pi_between	4_pi_total
melitaea_cinxia_new	TRINITY_DN411_c0_g1(+)	cinxia.TRINITY_DN411_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN528_c0_g1(+)	cinxia.TRINITY_DN528_c0_g1	NA	124	0	0	124	232	232	0	0	0	0	0.0	0.0	0.0	0.0	52	52	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN740_c0_g1(+)	cinxia.TRINITY_DN740_c0_g1	NA	93	0	0	93	179	179	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN1824_c0_g1(+)	cinxia.TRINITY_DN1824_c0_g1	OG0001824	32	0	0	32	55	55	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN2209_c0_g1(+)	cinxia.TRINITY_DN2209_c0_g1	OG0001698	54	0	0	54	103	103	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN2341_c0_g1(-)	cinxia.TRINITY_DN2341_c0_g1	NA	25	0	0	25	49	49	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN2625_c0_g1(-)	cinxia.TRINITY_DN2625_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_cinxia_new	TRINITY_DN2906_c0_g1(+)	cinxia.TRINITY_DN2906_c0_g1	NA	63	1	1	61	111	104	2	1	4	0	0.05405405	0.04504505	0.03153153	0.03753754	29	29	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN3062_c0_g1(+)	cinxia.TRINITY_DN3062_c0_g1	NA	6	0	0	6	10	9	0	0	1	0	0.1	0.1	0.05	0.06666667	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN3410_c0_g1(+)	cinxia.TRINITY_DN3410_c0_g1	OG0003870	19	0	0	19	38	38	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_cinxia_new	TRINITY_DN3637_c0_g1(-)	cinxia.TRINITY_DN3637_c0_g1	NA	29	0	0	29	55	53	0	1	1	0	0.01818182	0.03636364	0.01818182	0.02121212	10	9	0	1	0	0	0.0	0.1	0.05	0.05
melitaea_cinxia_new	TRINITY_DN3776_c0_g1(-)	cinxia.TRINITY_DN3776_c0_g1	NA	27	0	0	27	46	45	0	0	1	0	0.02173913	0.02173913	0.01086957	0.01449276	7	6	0	0	1	0	0.14285714	0.14285714	0.07142857	0.09523809
