species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_EA_105	0_pi_EA_206	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_EA_105	4_pi_EA_206	4_pi_between	4_pi_total
euphydryas_aurinia	TRINITY_DN136_c0_g1(+)	aurinia.TRINITY_DN136_c0_g1	OG0001366	207	0	0	207	384	384	0	0	0	0	0.0	0.0	0.0	0.0	62	61	0	1	0	0	0.0	0.01612903	0.00806452	0.00806452
euphydryas_aurinia	TRINITY_DN296_c0_g1(+)	aurinia.TRINITY_DN296_c0_g1	NA	296	0	0	296	575	575	0	0	0	0	0.0	0.0	0.0	0.0	141	141	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN616_c0_g1(-)	aurinia.TRINITY_DN616_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
euphydryas_aurinia	TRINITY_DN790_c0_g1(+)	aurinia.TRINITY_DN790_c0_g1	NA	6	0	0	6	13	13	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN1015_c0_g1(+)	aurinia.TRINITY_DN1015_c0_g1	NA	9	0	0	9	16	16	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN1083_c0_g1(+)	aurinia.TRINITY_DN1083_c0_g1	NA	59	0	0	59	115	115	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN2053_c0_g1(+)	aurinia.TRINITY_DN2053_c0_g1	OG0001722	87	0	0	87	171	170	1	0	0	0	0.00584795	0.0	0.00292398	0.00292398	32	32	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN2079_c0_g1(+)	aurinia.TRINITY_DN2079_c0_g1	NA	22	0	0	22	42	42	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN2227_c0_g1(+)	aurinia.TRINITY_DN2227_c0_g1	NA	275	0	0	275	522	522	0	0	0	0	0.0	0.0	0.0	0.0	101	100	1	0	0	0	0.00990099	0.0	0.0049505	0.0049505
euphydryas_aurinia	TRINITY_DN3100_c0_g1(+)	aurinia.TRINITY_DN3100_c0_g1	NA	11	0	0	11	22	21	1	0	0	0	0.04545455	0.0	0.02272727	0.02272727	3	3	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3257_c0_g1(+)	aurinia.TRINITY_DN3257_c0_g1	OG0003050	184	0	0	184	347	347	0	0	0	0	0.0	0.0	0.0	0.0	82	82	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3372_c0_g1(+)	aurinia.TRINITY_DN3372_c0_g1	NA	148	0	0	148	284	284	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3410_c0_g1(-)	aurinia.TRINITY_DN3410_c0_g1	NA	4	0	0	4	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3504_c0_g1(+)	aurinia.TRINITY_DN3504_c0_g1	NA	330	0	0	330	636	636	0	0	0	0	0.0	0.0	0.0	0.0	121	121	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3608_c0_g1(+)	aurinia.TRINITY_DN3608_c0_g1	NA	111	0	0	111	217	216	0	1	0	0	0.0	0.00460829	0.00230415	0.00230415	33	33	0	0	0	0	0.0	0.0	0.0	0.0
euphydryas_aurinia	TRINITY_DN3655_c0_g1(+)	aurinia.TRINITY_DN3655_c0_g1	NA	207	0	0	207	403	403	0	0	0	0	0.0	0.0	0.0	0.0	63	62	0	1	0	0	0.0	0.01587302	0.00793651	0.00793651
euphydryas_aurinia	TRINITY_DN3692_c0_g1(+)	aurinia.TRINITY_DN3692_c0_g1	OG0001830	195	0	0	195	369	369	0	0	0	0	0.0	0.0	0.0	0.0	74	74	0	0	0	0	0.0	0.0	0.0	0.0
