species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_PC_18	0_pi_PC_60	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_PC_18	4_pi_PC_60	4_pi_between	4_pi_total
pyronia_cecilia	TRINITY_DN502_c0_g1(+)	cecilia.TRINITY_DN502_c0_g1	NA	56	0	0	56	105	105	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN511_c0_g1(+)	cecilia.TRINITY_DN511_c0_g1	NA	322	0	0	322	622	622	0	0	0	0	0.0	0.0	0.0	0.0	147	147	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN524_c0_g1(+)	cecilia.TRINITY_DN524_c0_g1	NA	140	0	0	140	268	268	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN535_c0_g1(-)	cecilia.TRINITY_DN535_c0_g1	NA	12	0	0	12	19	17	0	0	2	0	0.10526316	0.10526316	0.05263158	0.07017544	3	2	0	0	1	0	0.33333333	0.33333333	0.16666667	0.22222222
pyronia_cecilia	TRINITY_DN1072_c0_g1(+)	cecilia.TRINITY_DN1072_c0_g1	NA	96	0	0	96	182	182	0	0	0	0	0.0	0.0	0.0	0.0	41	41	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN1128_c0_g1(+)	cecilia.TRINITY_DN1128_c0_g1	NA	244	0	0	244	474	474	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN1214_c0_g1(+)	cecilia.TRINITY_DN1214_c0_g1	OG0001713	224	0	0	224	444	444	0	0	0	0	0.0	0.0	0.0	0.0	98	98	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN1276_c0_g1(-)	cecilia.TRINITY_DN1276_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
pyronia_cecilia	TRINITY_DN1550_c0_g1(+)	cecilia.TRINITY_DN1550_c0_g1	NA	562	0	0	562	1085	1083	1	1	0	0	0.00092166	0.00092166	0.00092166	0.00092166	182	182	0	0	0	0	0.0	0.0	0.0	0.0
pyronia_cecilia	TRINITY_DN1759_c0_g1(+)	cecilia.TRINITY_DN1759_c0_g1	NA	253	0	0	253	481	480	0	0	0	1	0.0	0.0	0.002079	0.001386	105	105	0	0	0	0	0.0	0.0	0.0	0.0
