species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MP_GA08P	0_pi_MP_GA08Q	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MP_GA08P	4_pi_MP_GA08Q	4_pi_between	4_pi_total
melitaea_parthenoides	TRINITY_DN47_c0_g1(+)	parthenoides.TRINITY_DN47_c0_g1	NA	103	0	0	103	204	204	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN106_c0_g1(+)	parthenoides.TRINITY_DN106_c0_g1	NA	298	0	0	298	572	572	0	0	0	0	0.0	0.0	0.0	0.0	124	124	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN109_c0_g1(+)	parthenoides.TRINITY_DN109_c0_g1	NA	23	0	0	23	43	43	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN181_c0_g1(-)	parthenoides.TRINITY_DN181_c0_g1	OG0001947	85	0	0	85	165	165	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN299_c0_g1(+)	parthenoides.TRINITY_DN299_c0_g1	NA	13	0	0	13	26	26	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN325_c0_g1(+)	parthenoides.TRINITY_DN325_c0_g1	NA	13	0	0	13	25	25	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN326_c0_g1(-)	parthenoides.TRINITY_DN326_c0_g1	NA	236	0	0	236	455	455	0	0	0	0	0.0	0.0	0.0	0.0	110	110	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN348_c0_g1(+)	parthenoides.TRINITY_DN348_c0_g1	NA	49	0	0	49	88	88	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN418_c0_g1(+)	parthenoides.TRINITY_DN418_c0_g1	OG0001467	214	0	0	214	416	416	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN446_c0_g1(+)	parthenoides.TRINITY_DN446_c0_g1	OG0001498	120	0	0	120	230	230	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN466_c0_g1(+)	parthenoides.TRINITY_DN466_c0_g1	NA	60	0	0	60	122	122	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN497_c0_g1(+)	parthenoides.TRINITY_DN497_c0_g1	NA	141	0	0	141	275	275	0	0	0	0	0.0	0.0	0.0	0.0	62	62	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN504_c0_g1(+)	parthenoides.TRINITY_DN504_c0_g1	NA	67	0	0	67	127	127	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN521_c0_g1(+)	parthenoides.TRINITY_DN521_c0_g1	NA	10	0	0	10	19	19	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN539_c0_g1(-)	parthenoides.TRINITY_DN539_c0_g1	NA	29	0	0	29	56	56	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN541_c0_g1(-)	parthenoides.TRINITY_DN541_c0_g1	NA	30	0	0	30	59	59	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN606_c0_g1(-)	parthenoides.TRINITY_DN606_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN673_c0_g1(+)	parthenoides.TRINITY_DN673_c0_g1	NA	17	0	0	17	34	34	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN695_c0_g1(-)	parthenoides.TRINITY_DN695_c0_g1	NA	9	0	0	9	17	17	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN700_c0_g1(+)	parthenoides.TRINITY_DN700_c0_g1	NA	11	0	0	11	20	20	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN719_c0_g1(+)	parthenoides.TRINITY_DN719_c0_g1	NA	53	0	0	53	99	99	0	0	0	0	0.0	0.0	0.0	0.0	22	22	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN805_c0_g1(-)	parthenoides.TRINITY_DN805_c0_g1	NA	187	0	0	187	362	362	0	0	0	0	0.0	0.0	0.0	0.0	73	73	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_parthenoides	TRINITY_DN816_c0_g1(+)	parthenoides.TRINITY_DN816_c0_g1	NA	48	0	0	48	88	87	0	1	0	0	0.0	0.01136364	0.00568182	0.00568182	13	13	0	0	0	0	0.0	0.0	0.0	0.0
