species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_MD_120	0_pi_MD_379	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_MD_120	4_pi_MD_379	4_pi_between	4_pi_total
melitaea_deione	TRINITY_DN106_c0_g1(+)	deione.TRINITY_DN106_c0_g1	NA	57	0	0	57	111	111	0	0	0	0	0.0	0.0	0.0	0.0	27	27	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN389_c0_g2(-)	deione.TRINITY_DN389_c0_g2	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_deione	TRINITY_DN452_c0_g1(+)	deione.TRINITY_DN452_c0_g1	NA	160	0	0	160	320	320	0	0	0	0	0.0	0.0	0.0	0.0	55	55	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN588_c0_g1(+)	deione.TRINITY_DN588_c0_g1	OG0001156	466	0	0	466	904	904	0	0	0	0	0.0	0.0	0.0	0.0	213	213	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN604_c0_g1(+)	deione.TRINITY_DN604_c0_g1	NA	315	0	0	315	607	607	0	0	0	0	0.0	0.0	0.0	0.0	109	108	0	1	0	0	0.0	0.00917431	0.00458716	0.00458716
melitaea_deione	TRINITY_DN713_c0_g1(+)	deione.TRINITY_DN713_c0_g1	NA	139	0	0	139	266	266	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN1022_c0_g1(+)	deione.TRINITY_DN1022_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_deione	TRINITY_DN1031_c0_g1(+)	deione.TRINITY_DN1031_c0_g1	NA	11	0	0	11	20	20	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN1532_c0_g1(+)	deione.TRINITY_DN1532_c0_g1	NA	187	0	0	187	365	365	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN1762_c0_g1(+)	deione.TRINITY_DN1762_c0_g1	OG0001266	127	0	0	127	253	253	0	0	0	0	0.0	0.0	0.0	0.0	60	60	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2014_c0_g1(+)	deione.TRINITY_DN2014_c0_g1	NA	189	0	0	189	368	368	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2063_c0_g1(+)	deione.TRINITY_DN2063_c0_g1	NA	61	0	0	61	121	121	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2091_c0_g1(+)	deione.TRINITY_DN2091_c0_g1	NA	33	0	0	33	65	65	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2117_c0_g1(+)	deione.TRINITY_DN2117_c0_g1	NA	359	0	0	359	689	688	0	1	0	0	0.0	0.00145138	0.00072569	0.00072569	117	117	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2119_c0_g1(+)	deione.TRINITY_DN2119_c0_g1	NA	205	0	0	205	395	395	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2181_c0_g1(+)	deione.TRINITY_DN2181_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2582_c0_g1(+)	deione.TRINITY_DN2582_c0_g1	NA	319	0	0	319	617	617	0	0	0	0	0.0	0.0	0.0	0.0	137	136	0	1	0	0	0.0	0.00729927	0.00364964	0.00364964
melitaea_deione	TRINITY_DN2634_c0_g1(+)	deione.TRINITY_DN2634_c0_g1	OG0001277	220	0	0	220	428	428	0	0	0	0	0.0	0.0	0.0	0.0	78	78	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2661_c0_g1(+)	deione.TRINITY_DN2661_c0_g1	NA	146	0	0	146	294	294	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2678_c0_g1(-)	deione.TRINITY_DN2678_c0_g1	NA	25	1	0	24	40	37	0	0	3	0	0.075	0.075	0.0375	0.05	14	12	0	0	2	0	0.14285714	0.14285714	0.07142857	0.09523809
melitaea_deione	TRINITY_DN2694_c0_g1(+)	deione.TRINITY_DN2694_c0_g1	NA	204	0	0	204	392	392	0	0	0	0	0.0	0.0	0.0	0.0	62	62	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN2796_c0_g1(+)	deione.TRINITY_DN2796_c0_g1	NA	124	0	0	124	245	245	0	0	0	0	0.0	0.0	0.0	0.0	64	63	0	1	0	0	0.0	0.015625	0.0078125	0.0078125
melitaea_deione	TRINITY_DN2943_c0_g1(+)	deione.TRINITY_DN2943_c0_g1	NA	233	0	0	233	453	453	0	0	0	0	0.0	0.0	0.0	0.0	105	104	1	0	0	0	0.00952381	0.0	0.0047619	0.0047619
melitaea_deione	TRINITY_DN3008_c0_g1(+)	deione.TRINITY_DN3008_c0_g1	NA	8	0	0	8	15	15	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3021_c0_g1(+)	deione.TRINITY_DN3021_c0_g1	NA	16	0	0	16	30	30	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3040_c0_g1(+)	deione.TRINITY_DN3040_c0_g1	NA	169	0	0	169	325	325	0	0	0	0	0.0	0.0	0.0	0.0	56	56	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3102_c0_g2(+)	deione.TRINITY_DN3102_c0_g2	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_deione	TRINITY_DN3123_c0_g1(+)	deione.TRINITY_DN3123_c0_g1	NA	196	0	0	196	379	379	0	0	0	0	0.0	0.0	0.0	0.0	82	82	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3472_c0_g1(-)	deione.TRINITY_DN3472_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3708_c0_g1(+)	deione.TRINITY_DN3708_c0_g1	NA	76	0	0	76	146	146	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3794_c0_g1(+)	deione.TRINITY_DN3794_c0_g1	NA	320	0	1	319	606	606	0	0	0	0	0.0	0.0	0.0	0.0	132	132	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN3951_c0_g1(+)	deione.TRINITY_DN3951_c0_g1	NA	182	0	0	182	350	350	0	0	0	0	0.0	0.0	0.0	0.0	82	82	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4020_c0_g1(+)	deione.TRINITY_DN4020_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
melitaea_deione	TRINITY_DN4090_c0_g1(+)	deione.TRINITY_DN4090_c0_g1	NA	54	0	0	54	105	105	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4110_c0_g1(+)	deione.TRINITY_DN4110_c0_g1	NA	224	0	0	224	429	429	0	0	0	0	0.0	0.0	0.0	0.0	82	81	0	1	0	0	0.0	0.01219512	0.00609756	0.00609756
melitaea_deione	TRINITY_DN4180_c0_g1(+)	deione.TRINITY_DN4180_c0_g1	NA	58	0	0	58	112	112	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4189_c0_g1(+)	deione.TRINITY_DN4189_c0_g1	NA	48	0	0	48	89	89	0	0	0	0	0.0	0.0	0.0	0.0	23	22	1	0	0	0	0.04347826	0.0	0.02173913	0.02173913
melitaea_deione	TRINITY_DN4381_c0_g1(+)	deione.TRINITY_DN4381_c0_g1	NA	363	0	0	363	711	711	0	0	0	0	0.0	0.0	0.0	0.0	133	133	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4431_c0_g1(+)	deione.TRINITY_DN4431_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4434_c0_g1(+)	deione.TRINITY_DN4434_c0_g1	OG0001373	337	0	0	337	662	662	0	0	0	0	0.0	0.0	0.0	0.0	139	139	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4655_c0_g1(+)	deione.TRINITY_DN4655_c0_g1	NA	138	0	0	138	263	263	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4782_c0_g1(+)	deione.TRINITY_DN4782_c0_g1	NA	296	0	0	296	572	571	0	1	0	0	0.0	0.00174825	0.00087413	0.00087413	140	140	0	0	0	0	0.0	0.0	0.0	0.0
melitaea_deione	TRINITY_DN4811_c0_g1(-)	deione.TRINITY_DN4811_c0_g1	NA	8	0	0	8	17	17	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
