species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_TA_342	0_pi_TA_82	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_TA_342	4_pi_TA_82	4_pi_between	4_pi_total
thymelicus_acteon	TRINITY_DN5_c0_g1(+)	acteon.TRINITY_DN5_c0_g1	NA	103	0	0	103	196	196	0	0	0	0	0.0	0.0	0.0	0.0	55	54	0	0	1	0	0.01818182	0.01818182	0.00909091	0.01212121
thymelicus_acteon	TRINITY_DN600_c0_g1(+)	acteon.TRINITY_DN600_c0_g1	NA	14	0	0	14	24	23	0	0	1	0	0.04166667	0.04166667	0.02083333	0.02777778	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN1015_c0_g1(+)	acteon.TRINITY_DN1015_c0_g1	NA	7	0	0	7	15	15	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN1486_c0_g1(-)	acteon.TRINITY_DN1486_c0_g1	NA	31	0	0	31	56	56	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN1722_c0_g1(+)	acteon.TRINITY_DN1722_c0_g1	NA	258	0	0	258	498	497	0	1	0	0	0.0	0.00200803	0.00100402	0.00100402	118	118	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN1967_c0_g1(+)	acteon.TRINITY_DN1967_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN2168_c0_g1(+)	acteon.TRINITY_DN2168_c0_g1	NA	67	0	0	67	133	133	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN2666_c0_g2(+)	acteon.TRINITY_DN2666_c0_g2	NA	247	0	0	247	477	477	0	0	0	0	0.0	0.0	0.0	0.0	92	92	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN2797_c0_g1(+)	acteon.TRINITY_DN2797_c0_g1	NA	194	0	0	194	375	375	0	0	0	0	0.0	0.0	0.0	0.0	73	73	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN3291_c0_g1(+)	acteon.TRINITY_DN3291_c0_g1	NA	295	0	0	295	571	571	0	0	0	0	0.0	0.0	0.0	0.0	167	167	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN3300_c0_g2(+)	acteon.TRINITY_DN3300_c0_g2	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN3584_c0_g1(+)	acteon.TRINITY_DN3584_c0_g1	NA	199	0	0	199	387	387	0	0	0	0	0.0	0.0	0.0	0.0	75	75	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN4416_c0_g1(+)	acteon.TRINITY_DN4416_c0_g1	NA	51	0	0	51	91	91	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN4707_c0_g1(+)	acteon.TRINITY_DN4707_c0_g1	OG0003050	184	0	0	184	355	355	0	0	0	0	0.0	0.0	0.0	0.0	87	87	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN4985_c0_g1(+)	acteon.TRINITY_DN4985_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_acteon	TRINITY_DN5483_c0_g1(+)	acteon.TRINITY_DN5483_c0_g1	NA	152	0	0	152	297	297	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN5542_c0_g1(+)	acteon.TRINITY_DN5542_c0_g1	NA	11	0	1	10	15	15	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN5896_c0_g1(-)	acteon.TRINITY_DN5896_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN6025_c0_g1(+)	acteon.TRINITY_DN6025_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN6083_c0_g1(+)	acteon.TRINITY_DN6083_c0_g1	NA	243	0	0	243	466	466	0	0	0	0	0.0	0.0	0.0	0.0	169	168	0	1	0	0	0.0	0.00591716	0.00295858	0.00295858
thymelicus_acteon	TRINITY_DN6187_c0_g1(+)	acteon.TRINITY_DN6187_c0_g1	NA	75	0	0	75	144	144	0	0	0	0	0.0	0.0	0.0	0.0	35	35	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN6258_c0_g1(-)	acteon.TRINITY_DN6258_c0_g1	NA	194	0	0	194	372	372	0	0	0	0	0.0	0.0	0.0	0.0	94	94	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN6434_c0_g1(+)	acteon.TRINITY_DN6434_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_acteon	TRINITY_DN7219_c0_g1(-)	acteon.TRINITY_DN7219_c0_g1	NA	174	0	0	174	327	325	0	2	0	0	0.0	0.00611621	0.0030581	0.0030581	65	63	0	2	0	0	0.0	0.03076923	0.01538462	0.01538462
thymelicus_acteon	TRINITY_DN7854_c0_g1(+)	acteon.TRINITY_DN7854_c0_g1	NA	123	0	0	123	239	239	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN8325_c0_g1(+)	acteon.TRINITY_DN8325_c0_g1	NA	5	0	0	5	11	11	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN8413_c0_g1(-)	acteon.TRINITY_DN8413_c0_g1	NA	58	0	0	58	112	112	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN8416_c0_g1(+)	acteon.TRINITY_DN8416_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_acteon	TRINITY_DN8601_c0_g1(+)	acteon.TRINITY_DN8601_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
