species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_CC_279	0_pi_CC_380	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_CC_279	4_pi_CC_380	4_pi_between	4_pi_total
colias_crocea	TRINITY_DN126_c0_g1(+)	crocea.TRINITY_DN126_c0_g1	NA	49	1	1	47	86	85	1	0	0	0	0.01162791	0.0	0.00581395	0.00581395	16	15	0	1	0	0	0.0	0.0625	0.03125	0.03125
colias_crocea	TRINITY_DN132_c0_g1(+)	crocea.TRINITY_DN132_c0_g1	OG0001277	219	0	0	219	427	427	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN398_c0_g1(+)	crocea.TRINITY_DN398_c0_g1	NA	180	0	0	180	340	340	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN474_c0_g1(+)	crocea.TRINITY_DN474_c0_g1	NA	17	0	0	17	34	34	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN823_c0_g1(-)	crocea.TRINITY_DN823_c0_g1	NA	10	0	0	10	15	15	0	0	0	0	0.0	0.0	0.0	0.0	6	5	0	1	0	0	0.0	0.16666667	0.08333333	0.08333333
colias_crocea	TRINITY_DN933_c0_g1(+)	crocea.TRINITY_DN933_c0_g1	NA	109	0	1	108	189	179	1	5	1	3	0.01058201	0.03174603	0.03439153	0.02998236	64	61	1	2	0	0	0.015625	0.03125	0.0234375	0.0234375
colias_crocea	TRINITY_DN1221_c0_g1(+)	crocea.TRINITY_DN1221_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN1548_c0_g1(+)	crocea.TRINITY_DN1548_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
colias_crocea	TRINITY_DN1549_c0_g1(+)	crocea.TRINITY_DN1549_c0_g1	NA	159	0	0	159	300	300	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN1580_c0_g1(+)	crocea.TRINITY_DN1580_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN1692_c0_g1(+)	crocea.TRINITY_DN1692_c0_g1	OG0001965	505	0	0	505	969	969	0	0	0	0	0.0	0.0	0.0	0.0	196	195	1	0	0	0	0.00510204	0.0	0.00255102	0.00255102
colias_crocea	TRINITY_DN1815_c0_g1(+)	crocea.TRINITY_DN1815_c0_g1	NA	136	0	0	136	247	247	0	0	0	0	0.0	0.0	0.0	0.0	51	51	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN1913_c0_g1(+)	crocea.TRINITY_DN1913_c0_g1	NA	181	0	0	181	351	351	0	0	0	0	0.0	0.0	0.0	0.0	73	73	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN2006_c0_g1(+)	crocea.TRINITY_DN2006_c0_g1	NA	79	0	0	79	151	151	0	0	0	0	0.0	0.0	0.0	0.0	39	37	0	2	0	0	0.0	0.05128205	0.02564103	0.02564103
colias_crocea	TRINITY_DN2111_c0_g1(+)	crocea.TRINITY_DN2111_c0_g1	OG0002743	470	0	0	470	911	911	0	0	0	0	0.0	0.0	0.0	0.0	175	174	0	1	0	0	0.0	0.00571429	0.00285714	0.00285714
colias_crocea	TRINITY_DN2238_c0_g1(+)	crocea.TRINITY_DN2238_c0_g1	NA	460	0	0	460	883	882	1	0	0	0	0.0011325	0.0	0.00056625	0.00056625	183	183	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN2381_c0_g1(+)	crocea.TRINITY_DN2381_c0_g1	NA	159	0	0	159	299	299	0	0	0	0	0.0	0.0	0.0	0.0	65	65	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN2524_c0_g1(+)	crocea.TRINITY_DN2524_c0_g1	NA	74	0	0	74	145	145	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3082_c0_g1(+)	crocea.TRINITY_DN3082_c0_g1	NA	209	0	0	209	404	404	0	0	0	0	0.0	0.0	0.0	0.0	80	80	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3113_c0_g1(+)	crocea.TRINITY_DN3113_c0_g1	NA	390	0	0	390	770	769	0	0	0	1	0.0	0.0	0.0012987	0.0008658	133	133	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3118_c0_g1(+)	crocea.TRINITY_DN3118_c0_g1	NA	228	0	0	228	431	431	0	0	0	0	0.0	0.0	0.0	0.0	146	145	0	1	0	0	0.0	0.00684932	0.00342466	0.00342466
colias_crocea	TRINITY_DN3395_c0_g1(+)	crocea.TRINITY_DN3395_c0_g1	NA	285	0	0	285	552	552	0	0	0	0	0.0	0.0	0.0	0.0	108	108	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3561_c0_g1(+)	crocea.TRINITY_DN3561_c0_g1	NA	105	0	0	105	199	199	0	0	0	0	0.0	0.0	0.0	0.0	40	40	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3565_c0_g1(+)	crocea.TRINITY_DN3565_c0_g1	NA	507	0	0	507	993	992	0	1	0	0	0.0	0.00100705	0.00050352	0.00050352	232	232	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3633_c0_g1(+)	crocea.TRINITY_DN3633_c0_g1	NA	128	0	0	128	247	247	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3867_c0_g1(+)	crocea.TRINITY_DN3867_c0_g1	NA	136	0	0	136	259	259	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3903_c0_g1(+)	crocea.TRINITY_DN3903_c0_g1	NA	177	0	0	177	343	343	0	0	0	0	0.0	0.0	0.0	0.0	66	66	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN3965_c0_g1(+)	crocea.TRINITY_DN3965_c0_g1	NA	95	0	0	95	188	188	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN4032_c0_g1(+)	crocea.TRINITY_DN4032_c0_g1	NA	20	0	0	20	38	37	1	0	0	0	0.02631579	0.0	0.01315789	0.01315789	10	10	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN4324_c0_g1(+)	crocea.TRINITY_DN4324_c0_g1	NA	8	0	0	8	16	16	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN4447_c0_g1(+)	crocea.TRINITY_DN4447_c0_g1	NA	84	0	0	84	165	165	0	0	0	0	0.0	0.0	0.0	0.0	36	36	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN4625_c0_g1(+)	crocea.TRINITY_DN4625_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
colias_crocea	TRINITY_DN4734_c0_g1(-)	crocea.TRINITY_DN4734_c0_g1	NA	14	0	2	12	19	19	0	0	0	0	0.0	0.0	0.0	0.0	6	5	0	0	1	0	0.16666667	0.16666667	0.08333333	0.11111111
colias_crocea	TRINITY_DN4762_c0_g1(+)	crocea.TRINITY_DN4762_c0_g1	NA	644	0	0	644	1233	1233	0	0	0	0	0.0	0.0	0.0	0.0	215	215	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN4988_c0_g1(+)	crocea.TRINITY_DN4988_c0_g1	NA	23	0	0	23	42	41	0	0	1	0	0.02380952	0.02380952	0.01190476	0.01587301	6	5	0	0	1	0	0.16666667	0.16666667	0.08333333	0.11111111
colias_crocea	TRINITY_DN5108_c0_g1(+)	crocea.TRINITY_DN5108_c0_g1	NA	84	0	0	84	158	158	0	0	0	0	0.0	0.0	0.0	0.0	42	39	0	3	0	0	0.0	0.07142857	0.03571429	0.03571429
colias_crocea	TRINITY_DN5125_c0_g1(+)	crocea.TRINITY_DN5125_c0_g1	NA	37	0	0	37	71	71	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN5397_c0_g1(+)	crocea.TRINITY_DN5397_c0_g1	NA	27	0	0	27	55	55	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
colias_crocea	TRINITY_DN5414_c0_g1(+)	crocea.TRINITY_DN5414_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
colias_crocea	TRINITY_DN5501_c0_g1(+)	crocea.TRINITY_DN5501_c0_g1	NA	140	0	0	140	267	267	0	0	0	0	0.0	0.0	0.0	0.0	55	54	0	0	0	1	0.0	0.0	0.01818182	0.01212121
colias_crocea	TRINITY_DN5575_c0_g1(+)	crocea.TRINITY_DN5575_c0_g1	NA	312	0	0	312	617	617	0	0	0	0	0.0	0.0	0.0	0.0	147	146	0	1	0	0	0.0	0.00680272	0.00340136	0.00340136
colias_crocea	TRINITY_DN6281_c0_g1(+)	crocea.TRINITY_DN6281_c0_g1	NA	137	0	0	137	269	269	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
