species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_AC_397	0_pi_AC_72	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_AC_397	4_pi_AC_72	4_pi_between	4_pi_total
aricia_cramera	TRINITY_DN132_c0_g1(+)	cramera.TRINITY_DN132_c0_g1	OG0001298	446	0	0	446	841	841	0	0	0	0	0.0	0.0	0.0	0.0	199	199	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN1040_c0_g1(+)	cramera.TRINITY_DN1040_c0_g1	NA	62	0	0	62	121	121	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN1099_c0_g1(-)	cramera.TRINITY_DN1099_c0_g1	NA	9	0	0	9	15	14	0	0	1	0	0.06666667	0.06666667	0.03333333	0.04444444	4	4	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN1382_c0_g1(+)	cramera.TRINITY_DN1382_c0_g1	NA	158	0	0	158	296	295	1	0	0	0	0.00337838	0.0	0.00168919	0.00168919	62	62	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2194_c0_g1(+)	cramera.TRINITY_DN2194_c0_g1	NA	71	0	0	71	135	135	0	0	0	0	0.0	0.0	0.0	0.0	32	32	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2324_c0_g1(+)	cramera.TRINITY_DN2324_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2345_c0_g1(-)	cramera.TRINITY_DN2345_c0_g1	NA	4	0	0	4	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2414_c0_g1(+)	cramera.TRINITY_DN2414_c0_g1	NA	85	0	0	85	165	165	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2445_c0_g1(+)	cramera.TRINITY_DN2445_c0_g1	NA	180	0	0	180	343	343	0	0	0	0	0.0	0.0	0.0	0.0	91	91	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2513_c0_g1(+)	cramera.TRINITY_DN2513_c0_g1	NA	143	0	0	143	274	273	1	0	0	0	0.00364964	0.0	0.00182482	0.00182482	45	45	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2756_c0_g1(-)	cramera.TRINITY_DN2756_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN2795_c0_g1(+)	cramera.TRINITY_DN2795_c0_g1	NA	65	0	0	65	114	110	0	0	4	0	0.03508772	0.03508772	0.01754386	0.02339181	24	24	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3040_c0_g1(+)	cramera.TRINITY_DN3040_c0_g1	NA	7	0	0	7	12	12	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3177_c0_g1(+)	cramera.TRINITY_DN3177_c0_g1	NA	565	0	0	565	1095	1095	0	0	0	0	0.0	0.0	0.0	0.0	232	232	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3205_c0_g1(+)	cramera.TRINITY_DN3205_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3413_c0_g1(+)	cramera.TRINITY_DN3413_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
aricia_cramera	TRINITY_DN3538_c0_g1(+)	cramera.TRINITY_DN3538_c0_g1	NA	140	0	0	140	269	269	0	0	0	0	0.0	0.0	0.0	0.0	64	64	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3752_c0_g1(+)	cramera.TRINITY_DN3752_c0_g1	OG0001470	117	0	0	117	224	224	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3856_c0_g1(+)	cramera.TRINITY_DN3856_c0_g1	NA	233	0	0	233	460	460	0	0	0	0	0.0	0.0	0.0	0.0	101	101	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3863_c0_g1(+)	cramera.TRINITY_DN3863_c0_g1	OG0003334	351	0	0	351	672	671	0	1	0	0	0.0	0.0014881	0.00074405	0.00074405	140	140	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN3921_c0_g1(+)	cramera.TRINITY_DN3921_c0_g1	NA	102	0	0	102	190	190	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN4311_c0_g1(+)	cramera.TRINITY_DN4311_c0_g1	NA	233	0	0	233	450	450	0	0	0	0	0.0	0.0	0.0	0.0	67	66	0	1	0	0	0.0	0.01492537	0.00746269	0.00746269
aricia_cramera	TRINITY_DN4326_c0_g1(+)	cramera.TRINITY_DN4326_c0_g1	NA	256	0	0	256	510	510	0	0	0	0	0.0	0.0	0.0	0.0	103	103	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN4599_c0_g1(+)	cramera.TRINITY_DN4599_c0_g1	NA	83	0	0	83	167	167	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN4697_c0_g1(+)	cramera.TRINITY_DN4697_c0_g1	NA	185	0	0	185	356	356	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN4808_c0_g1(+)	cramera.TRINITY_DN4808_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
aricia_cramera	TRINITY_DN4856_c0_g1(+)	cramera.TRINITY_DN4856_c0_g1	NA	77	0	0	77	144	143	0	1	0	0	0.0	0.00694444	0.00347222	0.00347222	36	35	0	1	0	0	0.0	0.02777778	0.01388889	0.01388889
aricia_cramera	TRINITY_DN4862_c0_g1(+)	cramera.TRINITY_DN4862_c0_g1	NA	128	0	0	128	249	249	0	0	0	0	0.0	0.0	0.0	0.0	39	39	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN5302_c0_g1(+)	cramera.TRINITY_DN5302_c0_g1	OG0001837	116	0	0	116	221	221	0	0	0	0	0.0	0.0	0.0	0.0	52	52	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN6253_c0_g1(+)	cramera.TRINITY_DN6253_c0_g1	NA	25	0	0	25	49	49	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN6356_c0_g1(+)	cramera.TRINITY_DN6356_c0_g1	NA	10	0	0	10	20	20	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN6604_c0_g1(+)	cramera.TRINITY_DN6604_c0_g1	NA	165	0	0	165	316	316	0	0	0	0	0.0	0.0	0.0	0.0	76	76	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN6826_c0_g1(+)	cramera.TRINITY_DN6826_c0_g1	NA	15	0	0	15	29	29	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN6857_c0_g1(-)	cramera.TRINITY_DN6857_c0_g1	NA	34	1	0	33	59	56	1	0	2	0	0.05084746	0.03389831	0.02542373	0.03107345	11	10	0	0	1	0	0.09090909	0.09090909	0.04545455	0.06060606
aricia_cramera	TRINITY_DN6934_c0_g1(+)	cramera.TRINITY_DN6934_c0_g1	NA	175	0	0	175	332	331	1	0	0	0	0.00301205	0.0	0.00150602	0.00150602	58	58	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7111_c0_g1(+)	cramera.TRINITY_DN7111_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
aricia_cramera	TRINITY_DN7174_c0_g1(+)	cramera.TRINITY_DN7174_c0_g1	NA	601	0	0	601	1170	1168	1	1	0	0	0.0008547	0.0008547	0.0008547	0.0008547	277	277	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7260_c0_g1(+)	cramera.TRINITY_DN7260_c0_g1	NA	67	0	0	67	129	129	0	0	0	0	0.0	0.0	0.0	0.0	36	35	0	0	1	0	0.02777778	0.02777778	0.01388889	0.01851852
aricia_cramera	TRINITY_DN7311_c0_g1(-)	cramera.TRINITY_DN7311_c0_g1	NA	28	0	1	27	48	48	0	0	0	0	0.0	0.0	0.0	0.0	8	7	1	0	0	0	0.125	0.0	0.0625	0.0625
aricia_cramera	TRINITY_DN7351_c0_g1(+)	cramera.TRINITY_DN7351_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7402_c0_g1(+)	cramera.TRINITY_DN7402_c0_g1	NA	80	0	0	80	151	150	0	0	0	1	0.0	0.0	0.00662252	0.00441501	32	32	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7408_c0_g1(+)	cramera.TRINITY_DN7408_c0_g1	OG0001817	439	0	0	439	826	825	0	1	0	0	0.0	0.00121065	0.00060533	0.00060533	136	134	1	0	1	0	0.01470588	0.00735294	0.00735294	0.00857843
aricia_cramera	TRINITY_DN7413_c0_g1(+)	cramera.TRINITY_DN7413_c0_g1	NA	261	0	0	261	490	490	0	0	0	0	0.0	0.0	0.0	0.0	80	78	1	1	0	0	0.0125	0.0125	0.0125	0.0125
aricia_cramera	TRINITY_DN7468_c0_g1(+)	cramera.TRINITY_DN7468_c0_g1	NA	111	0	0	111	211	211	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7503_c0_g1(+)	cramera.TRINITY_DN7503_c0_g1	NA	58	0	0	58	111	111	0	0	0	0	0.0	0.0	0.0	0.0	26	25	1	0	0	0	0.03846154	0.0	0.01923077	0.01923077
aricia_cramera	TRINITY_DN7513_c0_g1(+)	cramera.TRINITY_DN7513_c0_g1	NA	464	0	0	464	913	913	0	0	0	0	0.0	0.0	0.0	0.0	215	215	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7519_c0_g1(+)	cramera.TRINITY_DN7519_c0_g1	NA	114	0	0	114	220	220	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7526_c0_g1(+)	cramera.TRINITY_DN7526_c0_g1	NA	107	0	0	107	203	203	0	0	0	0	0.0	0.0	0.0	0.0	63	63	0	0	0	0	0.0	0.0	0.0	0.0
aricia_cramera	TRINITY_DN7557_c0_g1(+)	cramera.TRINITY_DN7557_c0_g1	NA	286	0	0	286	556	556	0	0	0	0	0.0	0.0	0.0	0.0	113	113	0	0	0	0	0.0	0.0	0.0	0.0
