species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_SSp_30	0_pi_SSp_67	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_SSp_30	4_pi_SSp_67	4_pi_between	4_pi_total
satyrium_spini	TRINITY_DN28_c0_g1(+)	spini.TRINITY_DN28_c0_g1	OG0001470	117	0	0	117	226	226	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN423_c0_g1(+)	spini.TRINITY_DN423_c0_g1	NA	99	0	0	99	192	192	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN481_c0_g1(+)	spini.TRINITY_DN481_c0_g1	OG0001472	133	0	0	133	261	261	0	0	0	0	0.0	0.0	0.0	0.0	48	48	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN574_c0_g1(+)	spini.TRINITY_DN574_c0_g1	NA	44	0	0	44	85	85	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN671_c0_g1(-)	spini.TRINITY_DN671_c0_g1	NA	33	0	0	33	65	65	0	0	0	0	0.0	0.0	0.0	0.0	12	11	1	0	0	0	0.08333333	0.0	0.04166667	0.04166667
satyrium_spini	TRINITY_DN761_c0_g1(+)	spini.TRINITY_DN761_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
satyrium_spini	TRINITY_DN900_c0_g1(+)	spini.TRINITY_DN900_c0_g1	NA	2	0	0	2	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
satyrium_spini	TRINITY_DN1121_c0_g1(+)	spini.TRINITY_DN1121_c0_g1	NA	31	0	0	31	53	53	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN1140_c0_g1(+)	spini.TRINITY_DN1140_c0_g1	NA	7	0	0	7	14	14	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN1159_c0_g1(+)	spini.TRINITY_DN1159_c0_g1	NA	290	0	0	290	567	567	0	0	0	0	0.0	0.0	0.0	0.0	116	116	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN1957_c0_g1(+)	spini.TRINITY_DN1957_c0_g1	NA	131	0	0	131	252	251	1	0	0	0	0.00396825	0.0	0.00198413	0.00198413	65	65	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN2114_c0_g1(-)	spini.TRINITY_DN2114_c0_g1	NA	17	1	0	16	27	24	1	2	0	0	0.03703704	0.07407407	0.05555556	0.05555556	6	5	1	0	0	0	0.16666667	0.0	0.08333333	0.08333333
satyrium_spini	TRINITY_DN2152_c0_g1(+)	spini.TRINITY_DN2152_c0_g1	NA	82	0	0	82	160	160	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN2277_c0_g1(+)	spini.TRINITY_DN2277_c0_g1	NA	167	0	0	167	321	321	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN2587_c0_g1(+)	spini.TRINITY_DN2587_c0_g1	NA	166	0	0	166	324	324	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN2624_c0_g1(+)	spini.TRINITY_DN2624_c0_g1	NA	222	0	0	222	429	429	0	0	0	0	0.0	0.0	0.0	0.0	103	103	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN2681_c0_g1(+)	spini.TRINITY_DN2681_c0_g1	NA	172	0	0	172	339	339	0	0	0	0	0.0	0.0	0.0	0.0	70	70	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN3043_c0_g1(+)	spini.TRINITY_DN3043_c0_g1	NA	44	0	0	44	80	78	0	1	0	1	0.0	0.0125	0.01875	0.01458333	19	19	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN3458_c0_g1(+)	spini.TRINITY_DN3458_c0_g1	OG0001841	206	0	0	206	395	395	0	0	0	0	0.0	0.0	0.0	0.0	73	73	0	0	0	0	0.0	0.0	0.0	0.0
satyrium_spini	TRINITY_DN3511_c0_g1(+)	spini.TRINITY_DN3511_c0_g1	OG0001274	279	0	0	279	533	532	0	0	0	1	0.0	0.0	0.00187617	0.00125078	83	83	0	0	0	0	0.0	0.0	0.0	0.0
