species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_TL_GA42A	0_pi_TL_GA42D	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_TL_GA42A	4_pi_TL_GA42D	4_pi_between	4_pi_total
thymelicus_lineola	TRINITY_DN116_c0_g1(-)	lineola.TRINITY_DN116_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
thymelicus_lineola	TRINITY_DN497_c0_g1(+)	lineola.TRINITY_DN497_c0_g1	NA	2	0	0	2	2	2	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN1047_c0_g1(-)	lineola.TRINITY_DN1047_c0_g1	NA	17	0	0	17	32	32	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN1072_c0_g1(+)	lineola.TRINITY_DN1072_c0_g1	OG0002593	19	0	0	19	39	39	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN1594_c0_g1(-)	lineola.TRINITY_DN1594_c0_g1	NA	14	0	1	13	25	25	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN2258_c0_g1(+)	lineola.TRINITY_DN2258_c0_g1	NA	96	0	0	96	183	183	0	0	0	0	0.0	0.0	0.0	0.0	33	33	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN2763_c0_g1(-)	lineola.TRINITY_DN2763_c0_g1	NA	15	0	0	15	30	30	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN2911_c0_g1(+)	lineola.TRINITY_DN2911_c0_g1	NA	7	0	0	7	17	17	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN3388_c0_g1(+)	lineola.TRINITY_DN3388_c0_g1	NA	42	0	0	42	84	84	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
thymelicus_lineola	TRINITY_DN5232_c0_g1(+)	lineola.TRINITY_DN5232_c0_g1	NA	59	0	0	59	98	95	0	3	0	0	0.0	0.03061224	0.01530612	0.01530612	28	25	0	0	3	0	0.10714286	0.10714286	0.05357143	0.07142857
