species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_VA_268	0_pi_VA_443	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_VA_268	4_pi_VA_443	4_pi_between	4_pi_total
vanessa_atalanta	TRINITY_DN9_c0_g1(+)	atalanta.TRINITY_DN9_c0_g1	NA	119	0	0	119	229	229	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN39_c0_g1(+)	atalanta.TRINITY_DN39_c0_g1	NA	87	0	0	87	167	167	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN102_c0_g1(+)	atalanta.TRINITY_DN102_c0_g1	NA	77	0	0	77	144	144	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN116_c0_g1(+)	atalanta.TRINITY_DN116_c0_g1	NA	167	0	0	167	322	322	0	0	0	0	0.0	0.0	0.0	0.0	70	70	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN234_c0_g1(-)	atalanta.TRINITY_DN234_c0_g1	NA	2	0	0	2	5	5	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN480_c0_g1(+)	atalanta.TRINITY_DN480_c0_g1	NA	184	0	0	184	349	349	0	0	0	0	0.0	0.0	0.0	0.0	71	71	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN484_c0_g1(+)	atalanta.TRINITY_DN484_c0_g1	OG0003741	680	0	0	680	1309	1309	0	0	0	0	0.0	0.0	0.0	0.0	281	281	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN492_c0_g1(+)	atalanta.TRINITY_DN492_c0_g1	NA	94	0	0	94	183	183	0	0	0	0	0.0	0.0	0.0	0.0	37	37	0	0	0	0	0.0	0.0	0.0	0.0
vanessa_atalanta	TRINITY_DN521_c0_g1(+)	atalanta.TRINITY_DN521_c0_g1	NA	303	0	0	303	581	581	0	0	0	0	0.0	0.0	0.0	0.0	143	142	0	0	0	1	0.0	0.0	0.00699301	0.00466201
vanessa_atalanta	TRINITY_DN533_c0_g1(+)	atalanta.TRINITY_DN533_c0_g1	NA	193	0	0	193	367	367	0	0	0	0	0.0	0.0	0.0	0.0	67	67	0	0	0	0	0.0	0.0	0.0	0.0
