species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_LMa_257	0_pi_LMa_361	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_LMa_257	4_pi_LMa_361	4_pi_between	4_pi_total
lasiommata_maera	TRINITY_DN63_c0_g1(+)	maera.TRINITY_DN63_c0_g1	NA	211	0	0	211	412	412	0	0	0	0	0.0	0.0	0.0	0.0	84	84	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN681_c0_g1(+)	maera.TRINITY_DN681_c0_g1	NA	56	0	1	55	97	97	0	0	0	0	0.0	0.0	0.0	0.0	21	21	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN1566_c0_g2(+)	maera.TRINITY_DN1566_c0_g2	NA	6	0	0	6	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
lasiommata_maera	TRINITY_DN2103_c0_g1(+)	maera.TRINITY_DN2103_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN2699_c0_g1(+)	maera.TRINITY_DN2699_c0_g1	NA	15	0	0	15	30	30	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN2733_c0_g1(+)	maera.TRINITY_DN2733_c0_g1	OG0001270	175	0	0	175	329	329	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN2798_c0_g1(+)	maera.TRINITY_DN2798_c0_g1	NA	178	0	0	178	347	346	0	0	0	1	0.0	0.0	0.00288184	0.00192123	73	73	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN2851_c0_g1(+)	maera.TRINITY_DN2851_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN2964_c0_g1(-)	maera.TRINITY_DN2964_c0_g1	NA	7	0	0	7	13	13	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN3293_c0_g1(+)	maera.TRINITY_DN3293_c0_g1	NA	46	0	0	46	91	91	0	0	0	0	0.0	0.0	0.0	0.0	26	26	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN3630_c0_g1(+)	maera.TRINITY_DN3630_c0_g1	NA	14	0	0	14	26	26	0	0	0	0	0.0	0.0	0.0	0.0	7	7	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN3660_c0_g1(+)	maera.TRINITY_DN3660_c0_g1	NA	299	0	0	299	592	592	0	0	0	0	0.0	0.0	0.0	0.0	142	142	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN3826_c0_g1(-)	maera.TRINITY_DN3826_c0_g1	NA	25	0	0	25	39	38	1	0	0	0	0.02564103	0.0	0.01282051	0.01282051	6	6	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN4107_c0_g1(+)	maera.TRINITY_DN4107_c0_g1	NA	89	0	0	89	177	177	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN4427_c0_g1(+)	maera.TRINITY_DN4427_c0_g1	NA	44	0	0	44	87	87	0	0	0	0	0.0	0.0	0.0	0.0	20	20	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN4454_c0_g1(-)	maera.TRINITY_DN4454_c0_g1	NA	5	0	0	5	9	9	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN4548_c0_g1(+)	maera.TRINITY_DN4548_c0_g1	NA	16	0	0	16	28	28	0	0	0	0	0.0	0.0	0.0	0.0	8	6	1	0	0	1	0.125	0.0	0.1875	0.14583333
lasiommata_maera	TRINITY_DN4578_c0_g1(-)	maera.TRINITY_DN4578_c0_g1	NA	8	0	0	8	18	18	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
lasiommata_maera	TRINITY_DN5430_c0_g1(-)	maera.TRINITY_DN5430_c0_g1	NA	6	0	0	6	12	12	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
lasiommata_maera	TRINITY_DN5712_c0_g1(+)	maera.TRINITY_DN5712_c0_g1	OG0001700	263	0	0	263	526	526	0	0	0	0	0.0	0.0	0.0	0.0	101	101	0	0	0	0	0.0	0.0	0.0	0.0
