species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_OV_231	0_pi_OV_353	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_OV_231	4_pi_OV_353	4_pi_between	4_pi_total
ochlodes_venatus	TRINITY_DN348_c0_g1(+)	venatus.TRINITY_DN348_c0_g1	NA	489	0	0	489	943	943	0	0	0	0	0.0	0.0	0.0	0.0	248	248	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN474_c0_g1(-)	venatus.TRINITY_DN474_c0_g1	NA	8	0	0	8	13	12	0	0	1	0	0.07692308	0.07692308	0.03846154	0.05128205	3	3	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN1443_c0_g1(-)	venatus.TRINITY_DN1443_c0_g1	NA	27	0	0	27	44	43	0	0	1	0	0.02272727	0.02272727	0.01136364	0.01515152	8	8	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN1938_c0_g1(+)	venatus.TRINITY_DN1938_c0_g1	OG0003125	198	0	0	198	373	373	0	0	0	0	0.0	0.0	0.0	0.0	69	69	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN2234_c0_g1(-)	venatus.TRINITY_DN2234_c0_g1	NA	12	0	0	12	24	24	0	0	0	0	0.0	0.0	0.0	0.0	9	9	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN2415_c0_g1(+)	venatus.TRINITY_DN2415_c0_g1	NA	382	0	0	382	737	737	0	0	0	0	0.0	0.0	0.0	0.0	161	161	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN2484_c0_g1(-)	venatus.TRINITY_DN2484_c0_g1	NA	8	0	0	8	14	14	0	0	0	0	0.0	0.0	0.0	0.0	2	2	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN2598_c0_g1(+)	venatus.TRINITY_DN2598_c0_g1	NA	6	0	0	6	11	11	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN2860_c0_g1(+)	venatus.TRINITY_DN2860_c0_g1	NA	11	0	0	11	23	23	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3034_c0_g1(+)	venatus.TRINITY_DN3034_c0_g1	NA	32	0	0	32	61	61	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3255_c0_g1(+)	venatus.TRINITY_DN3255_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN3330_c0_g1(-)	venatus.TRINITY_DN3330_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
ochlodes_venatus	TRINITY_DN3392_c0_g1(+)	venatus.TRINITY_DN3392_c0_g1	NA	99	0	0	99	194	194	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3478_c0_g1(+)	venatus.TRINITY_DN3478_c0_g1	NA	21	0	0	21	40	40	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3557_c0_g1(-)	venatus.TRINITY_DN3557_c0_g1	NA	51	0	0	51	98	98	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3751_c0_g1(+)	venatus.TRINITY_DN3751_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3769_c0_g1(+)	venatus.TRINITY_DN3769_c0_g1	NA	73	0	0	73	140	140	0	0	0	0	0.0	0.0	0.0	0.0	30	30	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3799_c0_g1(+)	venatus.TRINITY_DN3799_c0_g1	NA	85	0	0	85	163	163	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3838_c0_g1(+)	venatus.TRINITY_DN3838_c0_g1	NA	107	0	0	107	214	214	0	0	0	0	0.0	0.0	0.0	0.0	49	49	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3854_c0_g1(-)	venatus.TRINITY_DN3854_c0_g1	NA	26	0	0	26	49	49	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN3936_c0_g1(-)	venatus.TRINITY_DN3936_c0_g1	NA	20	0	0	20	37	37	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN4051_c0_g1(+)	venatus.TRINITY_DN4051_c0_g1	NA	141	0	0	141	269	269	0	0	0	0	0.0	0.0	0.0	0.0	53	53	0	0	0	0	0.0	0.0	0.0	0.0
ochlodes_venatus	TRINITY_DN4273_c0_g1(+)	venatus.TRINITY_DN4273_c0_g1	NA	249	0	0	249	492	492	0	0	0	0	0.0	0.0	0.0	0.0	130	129	1	0	0	0	0.00769231	0.0	0.00384615	0.00384615
