species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_IF_142	0_pi_IF_236	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_IF_142	4_pi_IF_236	4_pi_between	4_pi_total
iphiclides_feisthamelii	TRINITY_DN58_c0_g1(+)	feisthamelii.TRINITY_DN58_c0_g1	NA	161	0	0	161	323	323	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN208_c0_g1(-)	feisthamelii.TRINITY_DN208_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
iphiclides_feisthamelii	TRINITY_DN512_c0_g1(+)	feisthamelii.TRINITY_DN512_c0_g1	OG0001405	535	0	0	535	1039	1039	0	0	0	0	0.0	0.0	0.0	0.0	174	174	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN536_c0_g1(+)	feisthamelii.TRINITY_DN536_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	4	4	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN607_c0_g1(+)	feisthamelii.TRINITY_DN607_c0_g1	NA	161	0	0	161	303	303	0	0	0	0	0.0	0.0	0.0	0.0	69	68	1	0	0	0	0.01449275	0.0	0.00724638	0.00724638
iphiclides_feisthamelii	TRINITY_DN809_c0_g1(+)	feisthamelii.TRINITY_DN809_c0_g1	NA	85	0	0	85	168	168	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN879_c0_g1(-)	feisthamelii.TRINITY_DN879_c0_g1	NA	54	0	0	54	105	105	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN1003_c0_g1(-)	feisthamelii.TRINITY_DN1003_c0_g1	NA	3	0	0	3	6	6	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
iphiclides_feisthamelii	TRINITY_DN1546_c0_g1(+)	feisthamelii.TRINITY_DN1546_c0_g1	NA	189	0	0	189	369	369	0	0	0	0	0.0	0.0	0.0	0.0	107	106	0	1	0	0	0.0	0.00934579	0.0046729	0.0046729
iphiclides_feisthamelii	TRINITY_DN1827_c0_g1(+)	feisthamelii.TRINITY_DN1827_c0_g1	NA	301	0	0	301	588	588	0	0	0	0	0.0	0.0	0.0	0.0	112	112	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN1850_c0_g1(+)	feisthamelii.TRINITY_DN1850_c0_g1	NA	250	0	0	250	467	467	0	0	0	0	0.0	0.0	0.0	0.0	93	93	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN1923_c0_g1(+)	feisthamelii.TRINITY_DN1923_c0_g1	NA	43	0	0	43	79	79	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN1928_c0_g1(+)	feisthamelii.TRINITY_DN1928_c0_g1	NA	293	0	0	293	570	570	0	0	0	0	0.0	0.0	0.0	0.0	108	108	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN1993_c0_g1(+)	feisthamelii.TRINITY_DN1993_c0_g1	NA	5	0	0	5	9	8	0	0	1	0	0.11111111	0.11111111	0.05555556	0.07407408	3	3	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN2027_c0_g1(-)	feisthamelii.TRINITY_DN2027_c0_g1	NA	55	0	0	55	104	103	0	1	0	0	0.0	0.00961538	0.00480769	0.00480769	26	25	0	1	0	0	0.0	0.03846154	0.01923077	0.01923077
iphiclides_feisthamelii	TRINITY_DN2299_c0_g1(+)	feisthamelii.TRINITY_DN2299_c0_g1	NA	20	0	0	20	42	42	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN2380_c0_g1(-)	feisthamelii.TRINITY_DN2380_c0_g1	NA	53	0	0	53	103	103	0	0	0	0	0.0	0.0	0.0	0.0	20	19	0	1	0	0	0.0	0.05	0.025	0.025
iphiclides_feisthamelii	TRINITY_DN2536_c0_g1(+)	feisthamelii.TRINITY_DN2536_c0_g1	NA	35	0	0	35	75	75	0	0	0	0	0.0	0.0	0.0	0.0	14	14	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN2906_c0_g1(+)	feisthamelii.TRINITY_DN2906_c0_g1	NA	1	0	0	1	2	2	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
iphiclides_feisthamelii	TRINITY_DN2913_c0_g1(+)	feisthamelii.TRINITY_DN2913_c0_g1	NA	246	0	0	246	473	473	0	0	0	0	0.0	0.0	0.0	0.0	83	83	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3375_c0_g1(+)	feisthamelii.TRINITY_DN3375_c0_g1	NA	84	0	0	84	168	168	0	0	0	0	0.0	0.0	0.0	0.0	24	24	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3376_c0_g1(+)	feisthamelii.TRINITY_DN3376_c0_g1	NA	175	0	0	175	321	321	0	0	0	0	0.0	0.0	0.0	0.0	72	72	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3495_c0_g1(+)	feisthamelii.TRINITY_DN3495_c0_g1	NA	152	0	0	152	296	296	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3591_c0_g1(+)	feisthamelii.TRINITY_DN3591_c0_g1	NA	5	0	0	5	10	10	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
iphiclides_feisthamelii	TRINITY_DN3646_c0_g1(+)	feisthamelii.TRINITY_DN3646_c0_g1	NA	48	0	0	48	94	94	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3907_c0_g1(-)	feisthamelii.TRINITY_DN3907_c0_g1	NA	12	0	0	12	22	22	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN3936_c0_g1(-)	feisthamelii.TRINITY_DN3936_c0_g1	OG0004723	56	0	0	56	106	106	0	0	0	0	0.0	0.0	0.0	0.0	18	18	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN4025_c0_g1(+)	feisthamelii.TRINITY_DN4025_c0_g1	NA	93	0	0	93	178	178	0	0	0	0	0.0	0.0	0.0	0.0	29	29	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN4099_c0_g1(+)	feisthamelii.TRINITY_DN4099_c0_g1	NA	130	0	0	130	252	252	0	0	0	0	0.0	0.0	0.0	0.0	62	62	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN4302_c0_g1(+)	feisthamelii.TRINITY_DN4302_c0_g1	OG0001296	162	0	0	162	311	311	0	0	0	0	0.0	0.0	0.0	0.0	65	64	0	1	0	0	0.0	0.01538462	0.00769231	0.00769231
iphiclides_feisthamelii	TRINITY_DN4422_c0_g1(+)	feisthamelii.TRINITY_DN4422_c0_g1	NA	124	0	0	124	235	235	0	0	0	0	0.0	0.0	0.0	0.0	54	53	0	0	1	0	0.01851852	0.01851852	0.00925926	0.01234568
iphiclides_feisthamelii	TRINITY_DN4557_c0_g1(+)	feisthamelii.TRINITY_DN4557_c0_g1	NA	275	0	0	275	538	537	0	1	0	0	0.0	0.00185874	0.00092937	0.00092937	107	107	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN4676_c0_g1(+)	feisthamelii.TRINITY_DN4676_c0_g1	OG0001333	191	0	0	191	382	382	0	0	0	0	0.0	0.0	0.0	0.0	81	81	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN4772_c0_g1(+)	feisthamelii.TRINITY_DN4772_c0_g1	NA	91	0	0	91	180	180	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5221_c0_g1(-)	feisthamelii.TRINITY_DN5221_c0_g1	NA	3	0	0	3	4	4	0	0	0	0	0.0	0.0	0.0	0.0	3	3	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5269_c0_g1(+)	feisthamelii.TRINITY_DN5269_c0_g1	NA	100	0	0	100	197	197	0	0	0	0	0.0	0.0	0.0	0.0	47	47	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5466_c0_g1(+)	feisthamelii.TRINITY_DN5466_c0_g1	NA	346	0	0	346	666	666	0	0	0	0	0.0	0.0	0.0	0.0	112	112	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5545_c0_g1(+)	feisthamelii.TRINITY_DN5545_c0_g1	NA	278	0	0	278	540	540	0	0	0	0	0.0	0.0	0.0	0.0	149	149	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5553_c0_g1(+)	feisthamelii.TRINITY_DN5553_c0_g1	NA	21	0	0	21	41	41	0	0	0	0	0.0	0.0	0.0	0.0	8	8	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5606_c0_g1(+)	feisthamelii.TRINITY_DN5606_c0_g1	NA	11	0	0	11	22	22	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5695_c0_g1(+)	feisthamelii.TRINITY_DN5695_c0_g1	NA	37	0	0	37	72	72	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5828_c0_g1(+)	feisthamelii.TRINITY_DN5828_c0_g1	NA	82	0	0	82	163	163	0	0	0	0	0.0	0.0	0.0	0.0	19	19	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN5836_c0_g1(+)	feisthamelii.TRINITY_DN5836_c0_g1	NA	69	0	0	69	133	133	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN6135_c0_g1(+)	feisthamelii.TRINITY_DN6135_c0_g1	NA	173	0	0	173	340	339	1	0	0	0	0.00294118	0.0	0.00147059	0.00147059	70	70	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN6274_c0_g1(+)	feisthamelii.TRINITY_DN6274_c0_g1	NA	47	0	0	47	87	87	0	0	0	0	0.0	0.0	0.0	0.0	13	13	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN6488_c0_g1(-)	feisthamelii.TRINITY_DN6488_c0_g1	NA	20	0	0	20	39	39	0	0	0	0	0.0	0.0	0.0	0.0	6	6	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN6824_c0_g1(+)	feisthamelii.TRINITY_DN6824_c0_g1	NA	96	0	0	96	183	183	0	0	0	0	0.0	0.0	0.0	0.0	38	38	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN7218_c0_g1(-)	feisthamelii.TRINITY_DN7218_c0_g1	NA	23	0	0	23	39	39	0	0	0	0	0.0	0.0	0.0	0.0	16	16	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN7348_c0_g1(+)	feisthamelii.TRINITY_DN7348_c0_g1	OG0003172	298	0	0	298	573	573	0	0	0	0	0.0	0.0	0.0	0.0	88	88	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN7470_c0_g2(-)	feisthamelii.TRINITY_DN7470_c0_g2	NA	50	0	0	50	97	97	0	0	0	0	0.0	0.0	0.0	0.0	17	17	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN7693_c0_g1(+)	feisthamelii.TRINITY_DN7693_c0_g1	OG0001299	280	0	0	280	537	536	0	0	1	0	0.0018622	0.0018622	0.0009311	0.00124147	83	83	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN8302_c0_g1(-)	feisthamelii.TRINITY_DN8302_c0_g1	NA	22	0	0	22	40	40	0	0	0	0	0.0	0.0	0.0	0.0	12	12	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN8903_c0_g1(+)	feisthamelii.TRINITY_DN8903_c0_g1	NA	10	0	0	10	20	19	1	0	0	0	0.05	0.0	0.025	0.025	4	4	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN9038_c0_g1(+)	feisthamelii.TRINITY_DN9038_c0_g1	NA	133	0	0	133	260	260	0	0	0	0	0.0	0.0	0.0	0.0	43	43	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN9057_c0_g1(+)	feisthamelii.TRINITY_DN9057_c0_g1	OG0001738	256	0	0	256	502	502	0	0	0	0	0.0	0.0	0.0	0.0	117	117	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN9212_c0_g1(+)	feisthamelii.TRINITY_DN9212_c0_g1	NA	128	0	0	128	246	246	0	0	0	0	0.0	0.0	0.0	0.0	59	59	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN9451_c0_g1(+)	feisthamelii.TRINITY_DN9451_c0_g1	NA	2	0	0	2	3	3	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	NA	NA	NA	NA
iphiclides_feisthamelii	TRINITY_DN9629_c0_g1(-)	feisthamelii.TRINITY_DN9629_c0_g1	NA	12	0	0	12	20	20	0	0	0	0	0.0	0.0	0.0	0.0	5	5	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN10004_c0_g1(+)	feisthamelii.TRINITY_DN10004_c0_g1	NA	45	0	0	45	87	87	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN10022_c1_g1(+)	feisthamelii.TRINITY_DN10022_c1_g1	NA	79	0	0	79	157	157	0	0	0	0	0.0	0.0	0.0	0.0	23	23	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN10892_c0_g1(+)	feisthamelii.TRINITY_DN10892_c0_g1	OG0001321	275	0	0	275	522	522	0	0	0	0	0.0	0.0	0.0	0.0	137	137	0	0	0	0	0.0	0.0	0.0	0.0
iphiclides_feisthamelii	TRINITY_DN10943_c0_g1(+)	feisthamelii.TRINITY_DN10943_c0_g1	NA	70	0	0	70	136	136	0	0	0	0	0.0	0.0	0.0	0.0	45	45	0	0	0	0	0.0	0.0	0.0	0.0
