species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_GR_112	0_pi_GR_136	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_GR_112	4_pi_GR_136	4_pi_between	4_pi_total
gonepteryx_rhamni	TRINITY_DN136_c0_g1(+)	rhamni.TRINITY_DN136_c0_g1	NA	169	0	0	169	337	336	0	1	0	0	0.0	0.00296736	0.00148368	0.00148368	74	72	0	2	0	0	0.0	0.02702703	0.01351351	0.01351351
gonepteryx_rhamni	TRINITY_DN297_c0_g1(+)	rhamni.TRINITY_DN297_c0_g1	OG0003093	369	0	0	369	727	727	0	0	0	0	0.0	0.0	0.0	0.0	185	185	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN524_c0_g1(-)	rhamni.TRINITY_DN524_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
gonepteryx_rhamni	TRINITY_DN1026_c0_g1(+)	rhamni.TRINITY_DN1026_c0_g1	OG0001530	115	0	0	115	217	217	0	0	0	0	0.0	0.0	0.0	0.0	44	44	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN1114_c0_g1(-)	rhamni.TRINITY_DN1114_c0_g1	NA	41	0	0	41	79	79	0	0	0	0	0.0	0.0	0.0	0.0	15	15	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN1477_c0_g1(+)	rhamni.TRINITY_DN1477_c0_g1	NA	54	0	0	54	106	106	0	0	0	0	0.0	0.0	0.0	0.0	34	34	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN1722_c0_g1(+)	rhamni.TRINITY_DN1722_c0_g1	NA	21	0	0	21	41	41	0	0	0	0	0.0	0.0	0.0	0.0	11	11	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN1828_c0_g1(+)	rhamni.TRINITY_DN1828_c0_g1	NA	83	0	0	83	163	163	0	0	0	0	0.0	0.0	0.0	0.0	31	31	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN2130_c0_g1(-)	rhamni.TRINITY_DN2130_c0_g1	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA
gonepteryx_rhamni	TRINITY_DN2494_c0_g1(+)	rhamni.TRINITY_DN2494_c0_g1	NA	325	0	0	325	635	635	0	0	0	0	0.0	0.0	0.0	0.0	130	130	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN2605_c0_g1(+)	rhamni.TRINITY_DN2605_c0_g1	OG0001350	120	0	0	120	233	233	0	0	0	0	0.0	0.0	0.0	0.0	57	57	0	0	0	0	0.0	0.0	0.0	0.0
gonepteryx_rhamni	TRINITY_DN2714_c0_g1(+)	rhamni.TRINITY_DN2714_c0_g1	NA	195	0	0	195	374	373	1	0	0	0	0.0026738	0.0	0.0013369	0.0013369	94	94	0	0	0	0	0.0	0.0	0.0	0.0
