species	locus	protein	group	proper_codons	multivariant_codons	multidegenerate_codons	valid_codons	0_all	0_invariant	0_hetA	0_hetB	0_hetAB	0_fixed	0_pi_CeAr_337	0_pi_CeAr_408	0_pi_between	0_pi_total	4_all	4_invariant	4_hetA	4_hetB	4_hetAB	4_fixed	4_pi_CeAr_337	4_pi_CeAr_408	4_pi_between	4_pi_total
celastrina_argiolus	TRINITY_DN27_c0_g1(+)	argiolus.TRINITY_DN27_c0_g1	NA	480	0	0	480	923	923	0	0	0	0	0.0	0.0	0.0	0.0	171	171	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN47_c0_g1(+)	argiolus.TRINITY_DN47_c0_g1	NA	6	0	0	6	13	13	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN50_c0_g1(+)	argiolus.TRINITY_DN50_c0_g1	NA	127	0	0	127	236	235	1	0	0	0	0.00423729	0.0	0.00211864	0.00211864	44	44	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN54_c0_g1(+)	argiolus.TRINITY_DN54_c0_g1	NA	147	0	0	147	290	290	0	0	0	0	0.0	0.0	0.0	0.0	99	98	0	1	0	0	0.0	0.01010101	0.00505051	0.00505051
celastrina_argiolus	TRINITY_DN57_c0_g1(+)	argiolus.TRINITY_DN57_c0_g1	NA	51	0	0	51	103	103	0	0	0	0	0.0	0.0	0.0	0.0	28	28	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN73_c0_g1(+)	argiolus.TRINITY_DN73_c0_g1	NA	46	0	0	46	85	85	0	0	0	0	0.0	0.0	0.0	0.0	10	10	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN184_c0_g1(+)	argiolus.TRINITY_DN184_c0_g1	NA	98	0	1	97	189	189	0	0	0	0	0.0	0.0	0.0	0.0	42	42	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN211_c0_g1(+)	argiolus.TRINITY_DN211_c0_g1	NA	2	0	0	2	4	4	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN228_c0_g1(+)	argiolus.TRINITY_DN228_c0_g1	NA	72	0	0	72	137	137	0	0	0	0	0.0	0.0	0.0	0.0	25	25	0	0	0	0	0.0	0.0	0.0	0.0
celastrina_argiolus	TRINITY_DN257_c0_g1(-)	argiolus.TRINITY_DN257_c0_g1	NA	4	0	0	4	8	8	0	0	0	0	0.0	0.0	0.0	0.0	1	1	0	0	0	0	0.0	0.0	0.0	0.0
